,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_identity_verified,neighbourhood_cleansed,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,price_local,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,availability_eoy,number_of_reviews_ly,estimated_occupancy_l365d,estimated_revenue_l365d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,distance_to_center_km,city,property_type_grouped,property_privacy_level,property_category
1184,within a day,67%,50%,f,1.0,1.0,t,Østerbro,Entire Standard,Entire home/apt,5.0,1.0,1 bath,3.0,4.0,1903.0,4,30.0,4.0,4.0,30.0,30.0,4.0,30.0,t,23.0,27.0,52.0,142.0,10.0,2.0,0.0,142,1.0,16.0,30448.0,5.0,5.0,5.0,4.9,5.0,5.0,5.0,f,1.0,1.0,0.0,0.0,2.52,Copenhagen,Entire Standard,Entire,Standard
1185,within an hour,100%,83%,f,1.0,1.0,t,Frederiksberg,Entire Standard,Entire home/apt,3.0,1.0,1 bath,2.0,2.0,1300.0,3,14.0,3.0,4.0,14.0,14.0,3.1,14.0,t,1.0,1.0,1.0,151.0,9.0,6.0,0.0,1,4.0,36.0,46800.0,4.67,4.56,4.67,4.67,5.0,5.0,4.67,f,1.0,1.0,0.0,0.0,1.21,Copenhagen,Entire Standard,Entire,Standard
1189,within an hour,100%,94%,f,1.0,1.0,t,Vesterbro-Kongens Enghave,Entire Luxury,Entire home/apt,4.0,1.0,1 bath,2.0,2.0,1087.0,1,1125.0,1.0,1.0,1125.0,1125.0,1.0,1125.0,t,11.0,16.0,16.0,16.0,36.0,11.0,4.0,16,8.0,66.0,71742.0,4.94,4.94,5.0,4.94,5.0,5.0,4.78,f,1.0,1.0,0.0,0.0,1.75,Copenhagen,Entire Luxury,Entire,Luxury
1192,within an hour,100%,93%,t,1.0,1.0,t,Amager Vest,Entire Standard,Entire home/apt,5.0,1.0,1 bath,2.0,2.0,1485.0,3,35.0,3.0,3.0,35.0,35.0,3.0,35.0,t,23.0,33.0,63.0,338.0,21.0,9.0,1.0,161,9.0,54.0,80190.0,5.0,4.86,4.9,5.0,5.0,5.0,4.9,f,1.0,1.0,0.0,0.0,1.67,Copenhagen,Entire Standard,Entire,Standard
1197,a few days or more,38%,10%,f,1.0,1.0,t,Vesterbro-Kongens Enghave,Entire Standard,Entire home/apt,8.0,1.5,1.5 baths,3.0,6.0,2500.0,2,30.0,2.0,2.0,30.0,30.0,2.0,30.0,t,2.0,5.0,9.0,273.0,30.0,5.0,2.0,98,4.0,30.0,75000.0,4.87,4.87,4.97,4.93,4.93,4.87,4.73,f,1.0,1.0,0.0,0.0,0.65,Copenhagen,Entire Standard,Entire,Standard
1201,within an hour,100%,0%,f,1.0,1.0,f,Vesterbro-Kongens Enghave,Entire Standard,Entire home/apt,2.0,1.0,1 bath,1.0,2.0,1000.0,4,14.0,4.0,4.0,14.0,14.0,4.0,14.0,t,17.0,47.0,77.0,277.0,50.0,0.0,0.0,175,0.0,0.0,0.0,4.38,4.69,3.54,4.86,4.92,4.71,4.49,f,1.0,1.0,0.0,0.0,1.82,Copenhagen,Entire Standard,Entire,Standard
1203,within an hour,100%,93%,t,3.0,3.0,t,Østerbro,Entire Standard,Entire home/apt,1.0,1.0,1 bath,1.0,6.0,500.0,4,70.0,1.0,4.0,70.0,70.0,4.0,70.0,t,8.0,18.0,33.0,188.0,71.0,17.0,0.0,103,25.0,136.0,68000.0,4.76,4.76,4.79,4.89,4.83,4.79,4.55,f,3.0,3.0,0.0,0.0,3.04,Copenhagen,Entire Standard,Entire,Standard
1204,within a few hours,100%,100%,f,1.0,1.0,t,Nørrebro,Entire Standard,Entire home/apt,2.0,1.0,1 bath,0.0,1.0,935.0,5,7.0,2.0,5.0,7.0,7.0,3.7,7.0,t,16.0,18.0,18.0,18.0,19.0,10.0,1.0,18,12.0,100.0,93500.0,4.79,4.89,5.0,4.79,4.95,4.84,4.63,f,1.0,1.0,0.0,0.0,1.96,Copenhagen,Entire Standard,Entire,Standard
1205,within a few hours,90%,79%,f,1.0,1.0,t,Vesterbro-Kongens Enghave,Hotel,Private room,1.0,1.0,1 shared bath,1.0,2.0,445.0,3,25.0,3.0,3.0,25.0,25.0,3.0,25.0,t,12.0,23.0,37.0,312.0,221.0,13.0,1.0,132,14.0,78.0,34710.0,4.92,4.91,4.83,4.97,4.97,4.89,4.85,f,1.0,0.0,1.0,0.0,1.84,Copenhagen,Hotel,Hotel,Hotel
1207,within a few hours,100%,35%,t,2.0,2.0,t,Østerbro,Entire Standard,Entire home/apt,6.0,1.0,1 bath,4.0,4.0,1620.0,3,30.0,3.0,3.0,30.0,30.0,3.0,30.0,t,1.0,4.0,4.0,38.0,37.0,6.0,0.0,8,7.0,36.0,58320.0,4.86,4.97,4.92,4.94,4.92,4.83,4.81,f,1.0,1.0,0.0,0.0,2.68,Copenhagen,Entire Standard,Entire,Standard
1209,within a few hours,100%,33%,f,1.0,1.0,t,Nørrebro,Entire Standard,Entire home/apt,4.0,1.0,1 bath,2.0,3.0,1064.0,4,10.0,6.0,6.0,10.0,10.0,6.0,10.0,t,8.0,10.0,10.0,10.0,49.0,0.0,0.0,10,0.0,0.0,0.0,4.82,4.92,4.88,4.85,4.92,4.79,4.75,f,1.0,1.0,0.0,0.0,2.48,Copenhagen,Entire Standard,Entire,Standard
1212,within a day,100%,40%,f,2.0,2.0,t,Amager Vest,Entire Standard,Entire home/apt,3.0,1.0,1 bath,1.0,1.0,1100.0,2,1125.0,2.0,2.0,1125.0,1125.0,2.0,1125.0,t,28.0,58.0,86.0,361.0,52.0,2.0,2.0,183,0.0,12.0,13200.0,4.65,4.86,4.51,4.94,4.94,4.58,4.67,f,2.0,1.0,1.0,0.0,2.63,Copenhagen,Entire Standard,Entire,Standard
1215,within a day,63%,30%,f,1.0,1.0,t,Vesterbro-Kongens Enghave,Entire Standard,Entire home/apt,2.0,1.0,1 bath,1.0,1.0,900.0,2,1125.0,2.0,3.0,1125.0,1125.0,2.0,1125.0,t,2.0,4.0,4.0,73.0,96.0,6.0,0.0,73,7.0,36.0,32400.0,4.82,4.82,4.73,4.86,4.92,4.89,4.71,f,1.0,1.0,0.0,0.0,1.38,Copenhagen,Entire Standard,Entire,Standard
1216,within a few hours,100%,100%,f,1.0,1.0,t,Østerbro,Entire Standard,Entire home/apt,3.0,1.0,1 bath,2.0,2.0,1600.0,4,500.0,4.0,4.0,500.0,500.0,4.0,500.0,t,5.0,8.0,11.0,16.0,46.0,4.0,0.0,16,6.0,32.0,51200.0,4.96,5.0,4.98,4.96,4.96,4.96,4.91,f,1.0,1.0,0.0,0.0,2.4,Copenhagen,Entire Standard,Entire,Standard
1217,a few days or more,0%,0%,f,1.0,2.0,t,Frederiksberg,Entire Standard,Entire home/apt,4.0,1.0,1 bath,2.0,2.0,1343.0,3,1125.0,3.0,3.0,1125.0,1125.0,3.0,1125.0,t,18.0,27.0,57.0,332.0,14.0,0.0,0.0,150,0.0,0.0,0.0,4.71,4.86,4.64,4.93,4.93,4.86,4.64,f,1.0,1.0,0.0,0.0,1.4,Copenhagen,Entire Standard,Entire,Standard
1224,within a few hours,100%,50%,f,8.0,10.0,t,Vesterbro-Kongens Enghave,Entire Standard,Entire home/apt,3.0,1.0,1 bath,1.0,2.0,1548.0,4,700.0,4.0,4.0,700.0,700.0,4.0,700.0,t,0.0,0.0,0.0,123.0,12.0,0.0,0.0,92,0.0,0.0,0.0,4.92,4.67,4.75,5.0,4.83,4.83,4.58,f,8.0,7.0,1.0,0.0,0.68,Copenhagen,Entire Standard,Entire,Standard
1228,within a few hours,100%,33%,f,1.0,1.0,t,Nørrebro,Entire Standard,Entire home/apt,4.0,1.0,1 bath,1.0,2.0,1493.0,1,1125.0,1.0,1.0,1125.0,1125.0,1.0,1125.0,t,24.0,27.0,52.0,327.0,39.0,1.0,0.0,148,4.0,6.0,8958.0,4.67,4.67,4.15,4.79,4.92,4.92,4.58,f,1.0,1.0,0.0,0.0,2.31,Copenhagen,Entire Standard,Entire,Standard
1232,within a day,75%,75%,f,2.0,2.0,t,Indre By,Entire Standard,Entire home/apt,6.0,1.0,1 bath,3.0,3.0,1400.0,4,60.0,4.0,4.0,1125.0,1125.0,4.0,1125.0,t,0.0,0.0,0.0,12.0,33.0,5.0,1.0,9,4.0,40.0,56000.0,4.58,4.79,3.76,4.94,4.48,4.97,4.64,t,2.0,1.0,1.0,0.0,1.67,Copenhagen,Entire Standard,Entire,Standard
1233,within a day,75%,75%,f,2.0,2.0,t,Indre By,Hotel,Private room,2.0,1.0,1 bath,1.0,1.0,360.0,7,365.0,7.0,7.0,365.0,365.0,7.0,365.0,t,8.0,16.0,22.0,246.0,113.0,12.0,0.0,73,24.0,168.0,60480.0,4.73,4.75,4.58,4.77,4.71,4.91,4.7,f,2.0,1.0,1.0,0.0,1.55,Copenhagen,Hotel,Hotel,Hotel
1235,within an hour,100%,100%,f,1.0,1.0,t,Amager Vest,Entire Standard,Entire home/apt,6.0,1.0,1 bath,3.0,3.0,1800.0,5,1125.0,5.0,7.0,1125.0,1125.0,5.1,1125.0,t,8.0,8.0,8.0,8.0,15.0,2.0,0.0,8,2.0,20.0,36000.0,5.0,4.93,4.8,5.0,5.0,5.0,4.87,f,1.0,1.0,0.0,0.0,4.07,Copenhagen,Entire Standard,Entire,Standard
1237,within a few hours,100%,99%,f,4.0,4.0,t,Indre By,Entire Standard,Entire home/apt,3.0,1.0,1 bath,1.0,3.0,1076.0,2,730.0,2.0,2.0,730.0,730.0,2.0,730.0,t,3.0,6.0,9.0,229.0,647.0,64.0,7.0,52,69.0,255.0,274380.0,4.74,4.79,4.8,4.87,4.84,4.92,4.71,f,3.0,3.0,0.0,0.0,0.52,Copenhagen,Entire Standard,Entire,Standard
1240,within a day,100%,50%,f,1.0,1.0,t,Vesterbro-Kongens Enghave,Entire Standard,Entire home/apt,4.0,1.5,1.5 baths,2.0,2.0,1440.0,3,14.0,3.0,3.0,14.0,14.0,3.0,14.0,t,0.0,1.0,1.0,1.0,30.0,0.0,0.0,1,0.0,0.0,0.0,4.5,4.67,4.1,4.72,4.8,4.86,4.38,f,1.0,1.0,0.0,0.0,0.73,Copenhagen,Entire Standard,Entire,Standard
1241,within an hour,100%,75%,f,1.0,1.0,t,Amager Vest,Entire Standard,Entire home/apt,7.0,1.0,1 bath,3.0,4.0,2000.0,2,21.0,3.0,7.0,21.0,21.0,3.7,21.0,t,4.0,5.0,5.0,170.0,21.0,2.0,1.0,25,1.0,12.0,24000.0,4.95,4.95,4.9,4.9,4.9,4.65,4.9,f,1.0,1.0,0.0,0.0,4.58,Copenhagen,Entire Standard,Entire,Standard
1242,within an hour,100%,99%,t,1.0,3.0,t,Nørrebro,Hotel,Private room,2.0,1.0,1 shared bath,1.0,1.0,619.0,3,1125.0,3.0,3.0,1125.0,1125.0,3.0,1125.0,t,2.0,5.0,11.0,152.0,338.0,49.0,4.0,94,36.0,255.0,157845.0,4.85,4.88,4.76,4.94,4.93,4.95,4.78,t,1.0,0.0,1.0,0.0,1.53,Copenhagen,Hotel,Hotel,Hotel
1245,within a few hours,100%,30%,f,1.0,1.0,t,Amager Vest,Entire Luxury,Entire home/apt,5.0,1.5,1.5 baths,1.0,3.0,1615.0,2,1125.0,2.0,2.0,1125.0,1125.0,2.0,1125.0,t,25.0,46.0,74.0,349.0,10.0,0.0,0.0,172,0.0,0.0,0.0,5.0,4.9,4.6,5.0,5.0,4.9,4.8,f,1.0,1.0,0.0,0.0,4.59,Copenhagen,Entire Luxury,Entire,Luxury
