,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_identity_verified,neighbourhood_cleansed,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,price_local,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,availability_eoy,number_of_reviews_ly,estimated_occupancy_l365d,estimated_revenue_l365d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,distance_to_center_km,city,property_type_grouped,property_privacy_level,property_category
10999,within an hour,100%,96%,f,2.0,2.0,t,Bispebjerg,Hotel,Private room,2.0,1.0,1 private bath,1.0,1.0,639.0,1,21.0,1.0,1.0,1125.0,1125.0,1.0,1125.0,t,0.0,0.0,16.0,290.0,79.0,31.0,6.0,110,30.0,186.0,118854.0,4.72,4.66,4.84,4.76,4.87,4.71,4.68,t,2.0,1.0,1.0,0.0,3.7,Copenhagen,Hotel,Hotel,Hotel
11000,within an hour,100%,83%,f,1.0,2.0,t,Indre By,Entire Standard,Entire home/apt,3.0,1.0,1 bath,1.0,2.0,1063.0,5,365.0,4.0,5.0,365.0,365.0,5.0,365.0,t,1.0,5.0,5.0,5.0,6.0,4.0,1.0,5,2.0,40.0,42520.0,4.67,4.67,4.83,4.83,4.83,5.0,4.17,f,1.0,1.0,0.0,0.0,0.83,Copenhagen,Entire Standard,Entire,Standard
11004,within a day,50%,40%,f,2.0,5.0,t,Frederiksberg,Entire Luxury,Entire home/apt,6.0,2.5,2.5 baths,4.0,4.0,3150.0,3,180.0,3.0,3.0,180.0,180.0,3.0,180.0,t,6.0,12.0,12.0,282.0,2.0,1.0,0.0,104,1.0,6.0,18900.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,f,1.0,1.0,0.0,0.0,2.05,Copenhagen,Entire Luxury,Entire,Luxury
11005,within a day,80%,33%,f,1.0,1.0,t,Valby,Entire Standard,Entire home/apt,4.0,1.0,1 bath,1.0,1.0,1839.0,2,14.0,2.0,2.0,14.0,14.0,2.0,14.0,t,6.0,6.0,30.0,305.0,7.0,1.0,0.0,128,2.0,6.0,11034.0,5.0,4.71,4.86,4.71,4.86,4.86,4.86,f,1.0,1.0,0.0,0.0,3.4,Copenhagen,Entire Standard,Entire,Standard
11008,within an hour,100%,100%,f,1.0,1.0,t,Amager Øst,Hotel,Private room,2.0,1.0,1 shared bath,1.0,1.0,700.0,2,9.0,2.0,2.0,1125.0,1125.0,2.0,1125.0,t,24.0,37.0,37.0,63.0,24.0,3.0,0.0,42,9.0,18.0,12600.0,5.0,4.96,5.0,4.92,5.0,4.96,4.83,f,1.0,0.0,1.0,0.0,3.88,Copenhagen,Hotel,Hotel,Hotel
11009,within an hour,100%,100%,f,1.0,1.0,t,Bispebjerg,Hotel,Private room,3.0,1.5,1.5 shared baths,1.0,2.0,943.0,2,1125.0,2.0,2.0,1125.0,1125.0,2.0,1125.0,t,30.0,60.0,88.0,363.0,15.0,5.0,1.0,186,4.0,30.0,28290.0,4.67,4.6,4.87,4.93,4.87,4.6,4.47,f,1.0,0.0,1.0,0.0,4.89,Copenhagen,Hotel,Hotel,Hotel
11012,within a few hours,100%,55%,f,1.0,1.0,t,Amager Vest,Entire Standard,Entire home/apt,3.0,1.0,1 bath,2.0,2.0,1522.0,5,50.0,2.0,5.0,50.0,50.0,5.0,50.0,t,7.0,11.0,41.0,47.0,29.0,9.0,1.0,47,14.0,90.0,136980.0,4.86,4.86,4.86,4.72,4.93,4.9,4.86,f,1.0,1.0,0.0,0.0,1.33,Copenhagen,Entire Standard,Entire,Standard
11016,within a few hours,89%,55%,f,2.0,3.0,t,Vesterbro-Kongens Enghave,Entire Standard,Entire home/apt,6.0,1.5,1.5 baths,3.0,3.0,2200.0,3,21.0,2.0,3.0,21.0,21.0,2.6,21.0,t,0.0,0.0,1.0,100.0,19.0,7.0,1.0,17,6.0,42.0,92400.0,4.84,4.95,4.53,4.89,4.89,4.95,4.74,f,1.0,1.0,0.0,0.0,0.59,Copenhagen,Entire Standard,Entire,Standard
11018,within an hour,90%,74%,f,9.0,20.0,t,Amager Vest,Entire Standard,Entire home/apt,6.0,1.0,1 bath,4.0,4.0,3240.0,4,365.0,4.0,4.0,365.0,365.0,4.0,365.0,t,19.0,43.0,43.0,230.0,49.0,34.0,1.0,53,41.0,255.0,826200.0,4.61,4.43,4.67,4.55,4.76,4.39,4.41,f,5.0,5.0,0.0,0.0,1.35,Copenhagen,Entire Standard,Entire,Standard
11025,a few days or more,43%,36%,f,2.0,2.0,t,Vesterbro-Kongens Enghave,Hotel,Private room,2.0,1.0,1 shared bath,2.0,1.0,580.0,1,13.0,1.0,1.0,13.0,13.0,1.0,13.0,t,20.0,34.0,64.0,64.0,13.0,6.0,2.0,64,5.0,36.0,20880.0,4.38,4.31,4.46,4.62,4.62,4.54,4.23,f,2.0,1.0,1.0,0.0,2.69,Copenhagen,Hotel,Hotel,Hotel
11026,within a day,100%,80%,f,2.0,2.0,t,Nørrebro,Entire Standard,Entire home/apt,4.0,2.0,2 baths,2.0,2.0,1271.0,5,40.0,1.0,5.0,40.0,40.0,4.9,40.0,t,1.0,2.0,9.0,9.0,14.0,6.0,0.0,9,6.0,60.0,76260.0,5.0,4.93,4.79,4.93,5.0,4.93,4.79,f,1.0,1.0,0.0,0.0,2.21,Copenhagen,Entire Standard,Entire,Standard
11033,a few days or more,14%,0%,f,1.0,1.0,t,Brønshøj-Husum,Entire Standard,Entire home/apt,2.0,1.0,1 bath,1.0,1.0,675.0,4,30.0,4.0,4.0,30.0,30.0,4.0,30.0,t,21.0,22.0,51.0,326.0,6.0,0.0,0.0,144,1.0,0.0,0.0,5.0,5.0,5.0,4.83,5.0,4.33,4.5,f,1.0,1.0,0.0,0.0,4.57,Copenhagen,Entire Standard,Entire,Standard
11037,within a day,100%,100%,f,1.0,2.0,t,Vesterbro-Kongens Enghave,Entire Standard,Entire home/apt,4.0,1.0,1 bath,2.0,3.0,1250.0,4,365.0,4.0,4.0,365.0,365.0,4.0,365.0,t,17.0,20.0,20.0,199.0,5.0,3.0,0.0,112,4.0,24.0,30000.0,4.8,5.0,4.8,5.0,5.0,4.8,4.8,f,1.0,1.0,0.0,0.0,2.57,Copenhagen,Entire Standard,Entire,Standard
11038,within an hour,100%,89%,t,1.0,1.0,t,Indre By,Entire Standard,Entire home/apt,4.0,1.0,1 bath,1.0,1.0,1140.0,4,730.0,2.0,12.0,730.0,730.0,6.6,730.0,t,6.0,11.0,26.0,147.0,62.0,24.0,2.0,116,22.0,192.0,218880.0,4.89,4.92,4.74,4.85,4.95,4.92,4.79,f,1.0,1.0,0.0,0.0,0.8,Copenhagen,Entire Standard,Entire,Standard
11041,within a day,78%,16%,f,1.0,1.0,t,Amager Vest,Entire Standard,Entire home/apt,2.0,1.0,1 bath,1.0,2.0,1028.0,4,30.0,4.0,4.0,30.0,30.0,4.0,30.0,t,23.0,33.0,57.0,58.0,3.0,1.0,0.0,58,3.0,8.0,8224.0,5.0,4.67,4.67,4.67,4.33,5.0,4.67,f,1.0,1.0,0.0,0.0,1.28,Copenhagen,Entire Standard,Entire,Standard
11045,within a day,100%,100%,f,1.0,1.0,t,Vesterbro-Kongens Enghave,Entire Standard,Entire home/apt,2.0,1.0,1 bath,1.0,1.0,949.0,3,365.0,3.0,5.0,365.0,365.0,3.1,365.0,t,11.0,11.0,11.0,11.0,4.0,4.0,1.0,11,2.0,24.0,22776.0,4.75,4.5,3.75,5.0,5.0,4.75,4.25,f,1.0,1.0,0.0,0.0,2.76,Copenhagen,Entire Standard,Entire,Standard
11046,within a day,50%,0%,f,1.0,1.0,t,Østerbro,Entire Standard,Entire home/apt,4.0,1.0,1 bath,1.0,1.0,4250.0,2,365.0,2.0,2.0,365.0,365.0,2.0,365.0,t,30.0,60.0,90.0,365.0,6.0,0.0,0.0,187,1.0,0.0,0.0,5.0,5.0,4.83,5.0,5.0,5.0,5.0,f,1.0,1.0,0.0,0.0,3.64,Copenhagen,Entire Standard,Entire,Standard
11047,within a day,80%,22%,f,1.0,1.0,t,Vanløse,Entire Standard,Entire home/apt,3.0,1.0,1 bath,1.0,2.0,855.0,4,12.0,4.0,4.0,12.0,12.0,4.0,12.0,t,11.0,11.0,11.0,188.0,31.0,1.0,1.0,11,5.0,8.0,6840.0,4.77,4.94,4.32,4.97,4.94,4.58,4.68,f,1.0,1.0,0.0,0.0,4.98,Copenhagen,Entire Standard,Entire,Standard
11048,within a few hours,100%,75%,f,1.0,1.0,t,Østerbro,Entire Standard,Entire home/apt,5.0,1.0,1 bath,3.0,1.0,1281.0,5,14.0,5.0,5.0,14.0,14.0,5.0,14.0,t,18.0,34.0,58.0,153.0,1.0,1.0,0.0,151,0.0,10.0,12810.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,f,1.0,1.0,0.0,0.0,3.65,Copenhagen,Entire Standard,Entire,Standard
11049,within an hour,100%,100%,f,1.0,1.0,t,Nørrebro,Entire Standard,Entire home/apt,2.0,1.0,1 bath,1.0,1.0,1088.0,3,14.0,3.0,3.0,14.0,14.0,3.0,14.0,t,6.0,6.0,8.0,8.0,19.0,6.0,1.0,8,5.0,36.0,39168.0,4.89,5.0,4.79,5.0,5.0,4.95,4.63,f,1.0,1.0,0.0,0.0,1.85,Copenhagen,Entire Standard,Entire,Standard
11051,within a day,90%,24%,f,1.0,1.0,t,Amager Øst,Entire Standard,Entire home/apt,3.0,1.0,1 bath,1.0,1.0,1170.0,1,3.0,1.0,1.0,3.0,3.0,1.0,3.0,t,19.0,49.0,76.0,351.0,23.0,1.0,1.0,172,3.0,6.0,7020.0,4.78,4.78,4.61,4.91,4.91,4.78,4.61,f,1.0,1.0,0.0,0.0,4.12,Copenhagen,Entire Standard,Entire,Standard
11053,within an hour,100%,77%,t,2.0,3.0,t,Frederiksberg,Entire Standard,Entire home/apt,4.0,2.0,2 baths,2.0,2.0,2097.0,3,365.0,3.0,3.0,365.0,365.0,3.0,365.0,t,26.0,50.0,61.0,221.0,23.0,16.0,1.0,126,13.0,96.0,201312.0,4.87,4.87,4.91,4.96,5.0,4.78,4.7,f,1.0,1.0,0.0,0.0,1.34,Copenhagen,Entire Standard,Entire,Standard
11062,within an hour,100%,99%,f,280.0,610.0,t,Indre By,Entire Standard,Entire home/apt,9.0,1.0,1 bath,6.0,6.0,3224.0,1,1125.0,1.0,4.0,180.0,180.0,1.6,180.0,t,5.0,12.0,20.0,260.0,81.0,25.0,0.0,86,23.0,150.0,483600.0,4.48,4.53,4.54,4.68,4.69,4.93,4.49,t,32.0,32.0,0.0,0.0,1.61,Copenhagen,Entire Standard,Entire,Standard
11064,within a day,100%,100%,f,1.0,1.0,t,Valby,Entire Standard,Entire home/apt,4.0,1.0,1 bath,2.0,2.0,990.0,5,365.0,5.0,5.0,365.0,365.0,5.0,365.0,t,13.0,13.0,13.0,13.0,5.0,0.0,0.0,13,2.0,0.0,0.0,4.6,4.8,4.4,4.8,4.8,4.8,4.6,f,1.0,1.0,0.0,0.0,3.18,Copenhagen,Entire Standard,Entire,Standard
11071,within an hour,100%,100%,f,1.0,1.0,t,Amager Vest,Entire Luxury,Entire home/apt,4.0,2.0,2 baths,2.0,2.0,1188.0,4,365.0,4.0,4.0,365.0,365.0,4.0,365.0,t,10.0,26.0,43.0,245.0,10.0,3.0,1.0,102,3.0,24.0,28512.0,4.8,4.8,4.6,4.3,4.7,4.8,4.5,f,1.0,1.0,0.0,0.0,4.35,Copenhagen,Entire Luxury,Entire,Luxury
11072,within a day,100%,20%,t,1.0,3.0,t,Frederiksberg,Entire Standard,Entire home/apt,3.0,1.0,1 bath,2.0,2.0,1370.0,4,60.0,4.0,4.0,60.0,60.0,4.0,60.0,t,0.0,1.0,1.0,151.0,22.0,4.0,0.0,1,9.0,32.0,43840.0,4.73,4.77,4.59,4.95,4.86,4.91,4.59,f,1.0,1.0,0.0,0.0,1.24,Copenhagen,Entire Standard,Entire,Standard
11078,within a day,100%,72%,t,1.0,1.0,t,Indre By,Entire Standard,Entire home/apt,4.0,1.0,1 bath,1.0,2.0,1870.0,5,730.0,3.0,5.0,730.0,730.0,5.0,730.0,t,4.0,12.0,17.0,17.0,34.0,11.0,1.0,17,12.0,110.0,205700.0,5.0,5.0,4.97,4.88,4.91,4.97,4.94,f,1.0,1.0,0.0,0.0,0.79,Copenhagen,Entire Standard,Entire,Standard
11080,within a day,100%,71%,f,1.0,1.0,t,Amager Øst,Entire Standard,Entire home/apt,7.0,1.5,1.5 baths,3.0,6.0,1378.0,4,1125.0,1.0,4.0,1125.0,1125.0,3.9,1125.0,t,9.0,13.0,16.0,46.0,4.0,4.0,1.0,46,1.0,32.0,44096.0,5.0,5.0,4.75,5.0,5.0,5.0,5.0,f,1.0,1.0,0.0,0.0,4.51,Copenhagen,Entire Standard,Entire,Standard
11081,within a day,100%,40%,f,1.0,1.0,t,Nørrebro,Entire Standard,Entire home/apt,6.0,1.0,1 bath,3.0,0.0,1985.0,5,32.0,5.0,5.0,32.0,32.0,5.0,32.0,t,8.0,13.0,13.0,283.0,1.0,1.0,0.0,105,0.0,10.0,19850.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,f,1.0,1.0,0.0,0.0,2.28,Copenhagen,Entire Standard,Entire,Standard
11087,within an hour,100%,100%,f,1.0,2.0,t,Amager Øst,Entire Standard,Entire home/apt,4.0,1.0,1 bath,2.0,2.0,900.0,3,730.0,2.0,7.0,1125.0,1125.0,3.2,1125.0,t,5.0,8.0,8.0,8.0,19.0,9.0,0.0,8,8.0,54.0,48600.0,4.95,5.0,4.89,4.95,5.0,4.84,4.89,f,1.0,1.0,0.0,0.0,3.49,Copenhagen,Entire Standard,Entire,Standard
11088,within an hour,100%,33%,f,1.0,2.0,t,Vesterbro-Kongens Enghave,Entire Standard,Entire home/apt,2.0,1.0,1 bath,2.0,2.0,1626.0,3,30.0,3.0,3.0,30.0,30.0,3.0,30.0,t,7.0,7.0,7.0,7.0,11.0,2.0,0.0,7,5.0,12.0,19512.0,4.91,4.91,5.0,4.91,5.0,4.64,4.73,f,1.0,1.0,0.0,0.0,0.72,Copenhagen,Entire Standard,Entire,Standard
11090,within a day,100%,71%,f,2.0,2.0,t,Indre By,Entire Standard,Entire home/apt,4.0,1.0,1 bath,2.0,2.0,3506.0,3,30.0,1.0,3.0,30.0,30.0,3.0,30.0,t,1.0,2.0,2.0,63.0,31.0,14.0,2.0,63,14.0,84.0,294504.0,4.94,4.84,4.81,5.0,4.97,4.94,4.71,f,1.0,1.0,0.0,0.0,0.59,Copenhagen,Entire Standard,Entire,Standard
11094,within a day,100%,75%,f,1.0,1.0,t,Nørrebro,Entire Standard,Entire home/apt,2.0,1.0,1 bath,1.0,1.0,900.0,4,10.0,4.0,4.0,10.0,10.0,4.0,10.0,t,0.0,0.0,0.0,131.0,13.0,10.0,3.0,44,4.0,80.0,72000.0,4.69,4.92,4.54,4.92,4.92,4.92,4.77,f,1.0,1.0,0.0,0.0,1.83,Copenhagen,Entire Standard,Entire,Standard
11095,within a day,60%,32%,f,1.0,2.0,t,Østerbro,Entire Standard,Entire home/apt,3.0,1.0,1 bath,2.0,2.0,1293.0,1,365.0,1.0,1.0,365.0,365.0,1.0,365.0,t,8.0,12.0,14.0,223.0,12.0,4.0,1.0,45,6.0,24.0,31032.0,4.58,4.58,4.5,4.92,4.83,4.83,4.58,f,1.0,1.0,0.0,0.0,2.77,Copenhagen,Entire Standard,Entire,Standard
11096,a few days or more,40%,49%,f,1.0,1.0,t,Vesterbro-Kongens Enghave,Entire Standard,Entire home/apt,4.0,1.0,1 bath,2.0,2.0,2715.0,2,730.0,2.0,2.0,730.0,730.0,2.0,730.0,t,24.0,44.0,68.0,343.0,12.0,7.0,3.0,165,2.0,42.0,114030.0,4.83,4.92,4.83,4.58,5.0,4.75,4.75,f,1.0,1.0,0.0,0.0,1.04,Copenhagen,Entire Standard,Entire,Standard
11102,a few days or more,25%,33%,f,1.0,4.0,t,Indre By,Entire Standard,Entire home/apt,2.0,1.0,1 bath,1.0,1.0,2986.0,1,30.0,1.0,1.0,30.0,30.0,1.0,30.0,t,21.0,51.0,81.0,356.0,11.0,3.0,0.0,174,5.0,18.0,53748.0,4.73,4.73,4.36,4.64,4.36,5.0,4.64,f,1.0,1.0,0.0,0.0,1.48,Copenhagen,Entire Standard,Entire,Standard
11109,within a few hours,100%,94%,f,1.0,1.0,t,Valby,Entire Standard,Entire home/apt,2.0,1.0,1 bath,1.0,1.0,800.0,2,365.0,2.0,2.0,365.0,365.0,2.0,365.0,t,14.0,14.0,14.0,14.0,8.0,8.0,8.0,14,0.0,48.0,38400.0,4.38,4.57,4.57,5.0,5.0,4.57,4.57,f,1.0,1.0,0.0,0.0,5.61,Copenhagen,Entire Standard,Entire,Standard
11110,a few days or more,0%,0%,f,1.0,1.0,t,Amager Øst,Entire Standard,Entire home/apt,2.0,1.0,1 bath,1.0,1.0,553.0,4,28.0,4.0,4.0,28.0,28.0,4.0,28.0,t,4.0,10.0,19.0,289.0,6.0,1.0,0.0,112,3.0,8.0,4424.0,4.5,4.67,4.5,4.83,4.67,4.67,4.67,f,1.0,1.0,0.0,0.0,4.77,Copenhagen,Entire Standard,Entire,Standard
11111,within a day,50%,30%,f,1.0,1.0,t,Amager Vest,Entire Standard,Entire home/apt,5.0,1.5,1.5 baths,2.0,3.0,1300.0,2,1125.0,1.0,3.0,1125.0,1125.0,3.0,1125.0,t,6.0,9.0,22.0,30.0,9.0,7.0,2.0,30,4.0,42.0,54600.0,4.78,4.78,4.44,4.56,4.78,5.0,4.67,f,1.0,1.0,0.0,0.0,1.71,Copenhagen,Entire Standard,Entire,Standard
11115,within a few hours,100%,46%,f,1.0,2.0,t,Østerbro,Entire Standard,Entire home/apt,2.0,1.0,1 bath,1.0,1.0,1065.0,5,60.0,3.0,5.0,60.0,60.0,4.9,60.0,t,2.0,9.0,15.0,23.0,10.0,7.0,2.0,23,5.0,70.0,74550.0,5.0,4.8,4.8,4.8,5.0,5.0,4.7,f,1.0,1.0,0.0,0.0,2.99,Copenhagen,Entire Standard,Entire,Standard
11116,within an hour,100%,100%,f,1.0,1.0,t,Østerbro,Entire Standard,Entire home/apt,6.0,2.0,2 baths,3.0,4.0,2640.0,5,365.0,3.0,5.0,365.0,365.0,5.0,365.0,t,8.0,13.0,13.0,13.0,9.0,4.0,0.0,13,4.0,40.0,105600.0,5.0,5.0,5.0,5.0,5.0,5.0,4.89,f,1.0,1.0,0.0,0.0,3.31,Copenhagen,Entire Standard,Entire,Standard
11121,within a few hours,80%,37%,f,1.0,2.0,t,Indre By,Hotel,Private room,1.0,1.0,1 shared bath,1.0,1.0,307.0,2,1125.0,1.0,2.0,1125.0,1125.0,2.0,1125.0,t,6.0,6.0,16.0,16.0,58.0,11.0,2.0,16,32.0,66.0,20262.0,4.31,4.45,4.09,4.41,4.26,4.78,4.4,f,1.0,0.0,1.0,0.0,1.56,Copenhagen,Hotel,Hotel,Hotel
11122,within an hour,100%,100%,t,6.0,7.0,t,Indre By,Entire Standard,Entire home/apt,2.0,0.5,Half-bath,1.0,1.0,1319.0,2,14.0,2.0,2.0,1125.0,1125.0,2.0,1125.0,t,11.0,33.0,54.0,93.0,179.0,65.0,4.0,93,70.0,255.0,336345.0,4.82,4.87,4.73,4.88,4.93,4.93,4.72,f,6.0,6.0,0.0,0.0,1.23,Copenhagen,Entire Standard,Entire,Standard
11123,within an hour,100%,100%,t,6.0,7.0,t,Indre By,Entire Standard,Entire home/apt,2.0,1.0,1 bath,1.0,1.0,1396.0,2,14.0,2.0,2.0,1125.0,1125.0,2.0,1125.0,t,8.0,20.0,39.0,97.0,173.0,66.0,5.0,97,69.0,255.0,355980.0,4.81,4.89,4.73,4.86,4.9,4.98,4.74,t,6.0,6.0,0.0,0.0,1.23,Copenhagen,Entire Standard,Entire,Standard
11125,within an hour,100%,100%,t,1.0,1.0,t,Indre By,Entire Standard,Entire home/apt,2.0,1.0,1 bath,1.0,1.0,1386.0,2,730.0,1.0,2.0,730.0,730.0,2.0,730.0,t,10.0,13.0,13.0,13.0,38.0,14.0,1.0,13,12.0,84.0,116424.0,4.95,5.0,4.87,5.0,5.0,5.0,4.84,t,1.0,1.0,0.0,0.0,0.65,Copenhagen,Entire Standard,Entire,Standard
11128,within an hour,100%,100%,t,6.0,7.0,t,Indre By,Entire Standard,Entire home/apt,2.0,1.0,1 bath,1.0,1.0,1182.0,2,14.0,2.0,2.0,1125.0,1125.0,2.0,1125.0,t,2.0,21.0,41.0,79.0,165.0,63.0,2.0,79,72.0,255.0,301410.0,4.86,4.87,4.68,4.94,4.92,4.96,4.74,f,6.0,6.0,0.0,0.0,1.23,Copenhagen,Entire Standard,Entire,Standard
11135,within a few hours,100%,31%,f,1.0,1.0,t,Vesterbro-Kongens Enghave,Entire Standard,Entire home/apt,2.0,1.0,1 bath,1.0,1.0,1572.0,7,30.0,2.0,7.0,30.0,30.0,6.9,30.0,t,5.0,15.0,45.0,320.0,11.0,4.0,0.0,140,6.0,56.0,88032.0,4.64,4.73,4.91,5.0,4.91,4.91,4.82,f,1.0,1.0,0.0,0.0,1.62,Copenhagen,Entire Standard,Entire,Standard
11137,a few days or more,30%,0%,f,1.0,1.0,f,Bispebjerg,Entire Standard,Entire home/apt,2.0,1.0,1 bath,1.0,1.0,585.0,1,365.0,1.0,1.0,365.0,365.0,1.0,365.0,t,16.0,38.0,65.0,65.0,2.0,0.0,0.0,65,0.0,0.0,0.0,4.0,4.0,4.0,5.0,5.0,3.5,4.0,f,1.0,1.0,0.0,0.0,5.16,Copenhagen,Entire Standard,Entire,Standard
11138,a few days or more,14%,50%,f,1.0,1.0,t,Frederiksberg,Entire Standard,Entire home/apt,2.0,1.0,1 bath,1.0,1.0,903.0,8,730.0,8.0,8.0,730.0,730.0,8.0,730.0,t,3.0,4.0,30.0,120.0,4.0,1.0,0.0,120,2.0,16.0,14448.0,5.0,5.0,4.75,5.0,5.0,5.0,5.0,f,1.0,1.0,0.0,0.0,1.75,Copenhagen,Entire Standard,Entire,Standard
11141,a few days or more,0%,67%,f,1.0,2.0,t,Amager Øst,Entire Standard,Entire home/apt,2.0,1.0,1 bath,1.0,1.0,1015.0,2,8.0,2.0,2.0,8.0,8.0,2.0,8.0,t,5.0,11.0,31.0,31.0,7.0,4.0,0.0,31,5.0,24.0,24360.0,4.71,4.57,4.43,4.57,4.71,4.86,4.71,f,1.0,1.0,0.0,0.0,2.78,Copenhagen,Entire Standard,Entire,Standard
11145,within a day,100%,0%,f,1.0,2.0,t,Brønshøj-Husum,Entire Standard,Entire home/apt,8.0,2.5,2.5 baths,4.0,4.0,2610.0,4,21.0,3.0,5.0,21.0,21.0,3.3,21.0,t,23.0,24.0,24.0,33.0,15.0,0.0,0.0,33,0.0,0.0,0.0,5.0,5.0,4.93,5.0,4.93,4.93,4.87,f,1.0,1.0,0.0,0.0,6.27,Copenhagen,Entire Standard,Entire,Standard
11146,within a few hours,100%,67%,f,1.0,1.0,t,Frederiksberg,Entire Standard,Entire home/apt,3.0,1.0,1 bath,1.0,1.0,1429.0,3,17.0,3.0,3.0,17.0,17.0,3.0,17.0,t,12.0,12.0,12.0,283.0,4.0,1.0,0.0,104,2.0,6.0,8574.0,5.0,5.0,4.75,5.0,5.0,4.75,4.5,f,1.0,1.0,0.0,0.0,3.28,Copenhagen,Entire Standard,Entire,Standard
11147,within an hour,99%,100%,f,251.0,716.0,t,Vesterbro-Kongens Enghave,Entire Standard,Entire home/apt,4.0,1.0,1 bath,2.0,2.0,2128.0,1,1125.0,1.0,2.0,2.0,1125.0,1.5,562.0,t,0.0,6.0,15.0,259.0,14.0,3.0,0.0,85,3.0,18.0,38304.0,4.86,4.79,4.64,4.57,4.71,4.5,4.43,f,247.0,247.0,0.0,0.0,2.86,Copenhagen,Entire Standard,Entire,Standard
11149,within an hour,100%,100%,t,1.0,2.0,t,Østerbro,Entire Standard,Entire home/apt,2.0,1.0,1 bath,1.0,2.0,668.0,2,1125.0,2.0,2.0,1125.0,1125.0,2.0,1125.0,t,4.0,8.0,14.0,157.0,227.0,88.0,7.0,40,89.0,255.0,170340.0,4.86,4.91,4.89,4.93,4.96,4.71,4.79,t,1.0,1.0,0.0,0.0,3.33,Copenhagen,Entire Standard,Entire,Standard
11150,within an hour,99%,100%,f,251.0,716.0,t,Østerbro,Entire Standard,Entire home/apt,4.0,1.0,1 bath,2.0,3.0,1773.0,1,1125.0,1.0,2.0,2.0,1125.0,1.5,562.0,t,0.0,0.0,0.0,177.0,3.0,0.0,0.0,0,0.0,0.0,0.0,5.0,4.67,5.0,5.0,5.0,5.0,4.67,f,247.0,247.0,0.0,0.0,3.79,Copenhagen,Entire Standard,Entire,Standard
11153,a few days or more,20%,39%,f,1.0,1.0,t,Indre By,Entire Standard,Entire home/apt,4.0,1.0,1 bath,2.0,2.0,2138.0,2,1125.0,2.0,2.0,1125.0,1125.0,2.0,1125.0,t,16.0,22.0,44.0,319.0,20.0,7.0,0.0,140,6.0,42.0,89796.0,4.9,4.9,4.9,4.9,4.9,5.0,4.85,f,1.0,1.0,0.0,0.0,0.94,Copenhagen,Entire Standard,Entire,Standard
11155,within a few hours,100%,33%,f,1.0,2.0,t,Frederiksberg,Entire Standard,Entire home/apt,2.0,1.0,1 bath,1.0,1.0,1100.0,1,365.0,1.0,1.0,365.0,365.0,1.0,365.0,t,0.0,0.0,2.0,182.0,15.0,3.0,0.0,3,5.0,18.0,19800.0,5.0,5.0,5.0,5.0,5.0,4.87,4.87,f,1.0,1.0,0.0,0.0,2.28,Copenhagen,Entire Standard,Entire,Standard
11156,a few days or more,40%,55%,f,1.0,1.0,t,Nørrebro,Entire Standard,Entire home/apt,2.0,1.0,1 bath,1.0,1.0,1243.0,2,365.0,2.0,2.0,365.0,365.0,2.0,365.0,t,20.0,27.0,27.0,27.0,18.0,9.0,1.0,27,7.0,54.0,67122.0,4.83,4.94,4.67,4.89,4.83,4.94,4.67,f,1.0,1.0,0.0,0.0,1.57,Copenhagen,Entire Standard,Entire,Standard
11161,within a day,100%,43%,f,1.0,1.0,t,Nørrebro,Entire Standard,Entire home/apt,3.0,1.0,1 bath,1.0,1.0,825.0,2,730.0,2.0,4.0,730.0,730.0,2.0,730.0,t,5.0,5.0,5.0,5.0,7.0,2.0,0.0,5,3.0,12.0,9900.0,5.0,4.71,4.57,5.0,5.0,4.57,4.57,f,1.0,1.0,0.0,0.0,2.85,Copenhagen,Entire Standard,Entire,Standard
11162,within an hour,67%,50%,f,2.0,4.0,t,Indre By,Alternative,Entire home/apt,6.0,3.0,3 baths,5.0,1.0,4015.0,2,365.0,2.0,2.0,365.0,365.0,2.0,365.0,t,9.0,37.0,67.0,342.0,3.0,2.0,1.0,161,2.0,12.0,48180.0,4.67,4.33,5.0,5.0,5.0,4.67,4.0,f,1.0,1.0,0.0,0.0,1.79,Copenhagen,Alternative,Alternative,Alternative
11164,within an hour,100%,47%,f,1.0,2.0,t,Amager Øst,Entire Standard,Entire home/apt,2.0,1.0,1 bath,1.0,2.0,600.0,4,19.0,3.0,3.0,19.0,19.0,3.0,19.0,t,3.0,3.0,11.0,11.0,5.0,4.0,0.0,11,3.0,32.0,19200.0,4.8,5.0,5.0,5.0,5.0,4.8,5.0,f,1.0,1.0,0.0,0.0,3.89,Copenhagen,Entire Standard,Entire,Standard
