feature,city,lasso_coef,ridge_coef
minimum_nights,Copenhagen,-0.011116866310985745,-0.013650432106370288
maximum_nights,Copenhagen,-0.01016336415692184,-0.014672934582475136
minimum_minimum_nights,Copenhagen,-0.004458083757529452,-0.007808330958312078
maximum_minimum_nights,Copenhagen,-0.008991607294281896,-0.030375959227653685
minimum_maximum_nights,Copenhagen,0.006138134841644907,0.02664753646602019
maximum_maximum_nights,Copenhagen,-0.0,-0.03680101911291465
minimum_nights_avg_ntm,Copenhagen,0.0,0.0253240555132533
maximum_nights_avg_ntm,Copenhagen,0.0,0.018800539711360073
has_availability,Copenhagen,0.0,0.0
availability_30,Copenhagen,-0.0,-0.010309633482259401
availability_60,Copenhagen,0.051276529999843966,0.06481557681912452
availability_90,Copenhagen,0.0739378021969512,0.07028057171757815
availability_365,Copenhagen,0.011659886859357368,0.013866837290974644
number_of_reviews,Copenhagen,-0.007973817147199441,-0.010875086079198147
number_of_reviews_ltm,Copenhagen,-0.0027310419804303394,-0.006999446788535884
number_of_reviews_l30d,Copenhagen,0.0,0.0030204216961027784
availability_eoy,Copenhagen,0.013401093285755165,0.012828962156469018
number_of_reviews_ly,Copenhagen,-0.0,0.005634565632112911
estimated_occupancy_l365d,Copenhagen,-0.12367614751670117,-0.1264490593277194
estimated_revenue_l365d,Copenhagen,0.137204972171951,0.13757626857523964
review_scores_rating,Copenhagen,0.023392631215930028,0.027065784267891163
review_scores_accuracy,Copenhagen,0.01819172192184884,0.019774276896822717
review_scores_cleanliness,Copenhagen,0.02491792829495783,0.02554645940611262
review_scores_checkin,Copenhagen,-0.0003548122561112893,-0.0011748249151530342
review_scores_communication,Copenhagen,-0.012005949766926496,-0.01348434949869682
review_scores_location,Copenhagen,0.004631335755668037,0.006254577475451685
review_scores_value,Copenhagen,-0.008936101642699305,-0.012949195560921278
instant_bookable,Copenhagen,-0.00298670538042184,-0.005977292994006505
calculated_host_listings_count,Copenhagen,0.06808997271427014,0.04560305295797748
calculated_host_listings_count_entire_homes,Copenhagen,0.005568038494326832,0.045632257130524864
calculated_host_listings_count_private_rooms,Copenhagen,-0.0,0.0021975380185658556
calculated_host_listings_count_shared_rooms,Copenhagen,-0.0053137267340242775,-0.006062990981130554
distance_to_center_km,Copenhagen,-0.08596899375301481,-0.08459893457987781
has_reviews,Copenhagen,0.005206526449349398,0.0057669065089468565
room_type_Hotel room,Copenhagen,-0.0023326952555221356,-0.0026847778719514665
room_type_Private room,Copenhagen,-0.08997037019311928,-0.08405726389206766
room_type_Shared room,Copenhagen,-0.04194539017176094,-0.04117603163917121
property_type_grouped_Entire Alternative,Copenhagen,-0.002802885206449194,-0.004899598070825564
property_type_grouped_Entire Luxury,Copenhagen,0.007297457394724968,0.0027732465421129887
property_type_grouped_Entire Standard,Copenhagen,0.0,0.00031805543565750365
property_type_grouped_Hotel,Copenhagen,-0.03998583267402235,-0.010477982708508747
property_type_grouped_Private Standard,Copenhagen,0.0012623421352315682,0.0007789521767504253
property_privacy_level_Entire,Copenhagen,0.0,0.00028075759717463745
property_privacy_level_Hotel,Copenhagen,-0.000296128379852529,-0.010477982708504273
property_privacy_level_Private,Copenhagen,0.0,0.0007789521767506844
neighbourhood_cleansed_Amager Vest,Copenhagen,0.00288089050793905,-0.003761958682727327
neighbourhood_cleansed_Amager Øst,Copenhagen,-0.0,-0.007737678343852914
neighbourhood_cleansed_Bispebjerg,Copenhagen,-0.014614874925622615,-0.02074671740652022
neighbourhood_cleansed_Bjerke,Copenhagen,0.0,0.0
neighbourhood_cleansed_Brønshøj-Husum,Copenhagen,-0.01590148317860248,-0.020277532103475496
neighbourhood_cleansed_Frederiksberg,Copenhagen,0.007234328511212814,4.783011460552418e-05
neighbourhood_cleansed_Frogner,Copenhagen,0.0,0.0
neighbourhood_cleansed_Gamle Oslo,Copenhagen,0.0,0.0
neighbourhood_cleansed_Grorud,Copenhagen,0.0,0.0
neighbourhood_cleansed_Grünerløkka,Copenhagen,0.0,0.0
neighbourhood_cleansed_Indre By,Copenhagen,0.06285882636614785,0.05425879886072181
neighbourhood_cleansed_Marka,Copenhagen,0.0,0.0
neighbourhood_cleansed_Nordre Aker,Copenhagen,0.0,0.0
neighbourhood_cleansed_Nordstrand,Copenhagen,0.0,0.0
neighbourhood_cleansed_Nørrebro,Copenhagen,-0.007598977445503311,-0.017621332207247032
