,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_identity_verified,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,price_local,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,availability_eoy,number_of_reviews_ly,estimated_occupancy_l365d,estimated_revenue_l365d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,distance_to_center_km,city,property_type_grouped,property_privacy_level,property_category
31317,within an hour,100%,44%,f,1.0,1.0,t,Nordre Aker,59.9513047,10.7761074,Hotel,Private room,2.0,0.5,Private half-bath,1.0,1.0,630.0,1,365.0,1.0,1.0,365.0,365.0,1.0,365.0,t,25.0,55.0,85.0,360.0,10.0,10.0,5.0,89,0.0,60.0,37800.0,4.9,4.9,4.8,4.9,4.9,4.7,4.7,f,1.0,0.0,1.0,0.0,4.37,Oslo,Hotel,Hotel,Hotel
31318,within an hour,100%,99%,t,2.0,2.0,t,Østensjø,59.90169200915442,10.818660027027953,Hotel,Private room,2.0,1.0,1 shared bath,1.0,1.0,323.0,1,365.0,1.0,1.0,365.0,365.0,1.0,365.0,t,0.0,11.0,21.0,258.0,78.0,78.0,7.0,21,13.0,255.0,82365.0,4.88,4.94,4.88,4.94,4.96,4.74,4.92,f,2.0,0.0,2.0,0.0,3.95,Oslo,Hotel,Hotel,Hotel
31322,within a few hours,100%,53%,f,1.0,1.0,t,St. Hanshaugen,59.9179589,10.7474632,Entire Standard,Entire home/apt,2.0,1.0,1 bath,1.0,1.0,1749.0,2,40.0,2.0,4.0,40.0,40.0,2.1,40.0,t,0.0,0.0,3.0,25.0,9.0,9.0,1.0,7,2.0,54.0,94446.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,f,1.0,1.0,0.0,0.0,0.52,Oslo,Entire Standard,Entire,Standard
31323,within an hour,100%,96%,f,2.0,6.0,t,Gamle Oslo,59.90991,10.77854,Entire Standard,Entire home/apt,4.0,1.0,1 bath,3.0,3.0,823.0,1,365.0,1.0,4.0,365.0,365.0,2.6,365.0,t,24.0,54.0,84.0,354.0,26.0,26.0,6.0,88,1.0,156.0,128388.0,4.85,4.85,4.85,4.81,4.88,4.92,4.85,f,2.0,2.0,0.0,0.0,1.53,Oslo,Entire Standard,Entire,Standard
31324,within a few hours,86%,36%,f,1.0,3.0,t,Sagene,59.942,10.7759,Entire Standard,Entire home/apt,2.0,1.0,1 bath,1.0,1.0,1290.0,2,14.0,2.0,2.0,14.0,14.0,2.0,14.0,t,30.0,60.0,90.0,180.0,2.0,2.0,0.0,94,0.0,12.0,15480.0,5.0,5.0,4.5,5.0,5.0,5.0,4.5,f,1.0,1.0,0.0,0.0,3.39,Oslo,Entire Standard,Entire,Standard
31325,within an hour,100%,75%,t,2.0,2.0,t,Gamle Oslo,59.91159301305208,10.763908959925176,Entire Standard,Entire home/apt,6.0,1.0,1 bath,2.0,3.0,2347.0,1,365.0,1.0,1.0,365.0,365.0,1.0,365.0,t,11.0,39.0,65.0,332.0,109.0,109.0,9.0,69,12.0,255.0,598485.0,4.94,4.94,4.98,4.95,4.97,4.82,4.91,f,2.0,2.0,0.0,0.0,0.7,Oslo,Entire Standard,Entire,Standard
31326,within a few hours,67%,27%,f,1.0,1.0,t,Grünerløkka,59.932650155071805,10.780524238944054,Entire Standard,Entire home/apt,3.0,1.0,1 bath,1.0,1.0,880.0,2,14.0,2.0,14.0,14.0,14.0,2.2,14.0,t,0.0,0.0,0.0,13.0,3.0,3.0,1.0,0,0.0,18.0,15840.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,f,1.0,1.0,0.0,0.0,2.62,Oslo,Entire Standard,Entire,Standard
31328,within a day,100%,97%,t,1.0,1.0,t,Grünerløkka,59.92115,10.7642,Entire Standard,Entire home/apt,3.0,1.0,1 bath,1.0,1.0,1155.0,2,60.0,2.0,2.0,60.0,60.0,2.0,60.0,t,13.0,40.0,63.0,153.0,24.0,24.0,2.0,67,5.0,144.0,166320.0,4.96,4.96,4.96,4.92,4.96,4.92,4.88,f,1.0,1.0,0.0,0.0,1.05,Oslo,Entire Standard,Entire,Standard
31330,within an hour,100%,34%,f,1.0,1.0,t,Grünerløkka,59.915926464446514,10.768728524424937,Entire Standard,Entire home/apt,4.0,1.0,1 bath,2.0,2.0,1205.0,2,30.0,1.0,2.0,30.0,30.0,2.0,30.0,t,4.0,4.0,16.0,20.0,5.0,5.0,0.0,20,3.0,30.0,36150.0,4.8,4.6,4.4,4.6,4.8,4.8,4.6,f,1.0,1.0,0.0,0.0,0.95,Oslo,Entire Standard,Entire,Standard
31333,within an hour,100%,55%,t,3.0,4.0,t,Grünerløkka,59.93024,10.76466,Entire Standard,Entire home/apt,4.0,1.0,1 bath,2.0,2.0,2134.0,2,30.0,2.0,2.0,30.0,30.0,2.0,30.0,t,28.0,58.0,88.0,363.0,1.0,1.0,0.0,92,0.0,6.0,12804.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,f,3.0,2.0,1.0,0.0,1.95,Oslo,Entire Standard,Entire,Standard
