,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_identity_verified,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,price_local,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,availability_eoy,number_of_reviews_ly,estimated_occupancy_l365d,estimated_revenue_l365d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,distance_to_center_km,city,property_type_grouped,property_privacy_level,property_category,has_reviews
20977,within an hour,100%,96%,f,1.0,1.0,t,Bispebjerg,55.70575509599134,12.526190187269108,Entire Standard,Entire home/apt,5.0,1.0,1 bath,2.0,3.0,1498.0,4,365.0,2.0,4.0,365.0,365.0,3.9,365.0,t,1.0,2.0,5.0,104.0,6.0,6.0,2.0,18,0.0,48.0,71904.0,5.0,5.0,5.0,4.83,5.0,4.5,5.0,f,1.0,1.0,0.0,0.0,4.22,Copenhagen,Entire Standard,Entire,Standard,1
20978,within an hour,100%,50%,f,1.0,1.0,f,Amager Øst,55.66039,12.61119,Entire Standard,Entire home/apt,2.0,1.0,1 bath,1.0,1.0,876.0,1,40.0,1.0,40.0,40.0,40.0,5.4,40.0,t,0.0,0.0,0.0,63.0,0.0,0.0,0.0,0,0.0,0.0,0.0,4.886566052188119,4.888626639252978,4.713733968584181,4.907385774988641,4.947943009195971,4.830676007881663,4.760901468604307,f,1.0,1.0,0.0,0.0,3.21,Copenhagen,Entire Standard,Entire,Standard,0
20979,within a few hours,90%,61%,f,2.0,2.0,t,Valby,55.66217226809061,12.512817064672856,Entire Standard,Entire home/apt,4.0,1.0,1 bath,2.0,2.0,400.0,2,365.0,2.0,2.0,365.0,365.0,2.0,365.0,t,7.0,15.0,15.0,49.0,6.0,6.0,0.0,15,0.0,36.0,14400.0,4.83,4.83,4.67,5.0,5.0,4.83,5.0,f,2.0,1.0,1.0,0.0,3.81,Copenhagen,Entire Standard,Entire,Standard,1
20980,within an hour,100%,100%,f,6.0,15.0,t,Amager Øst,55.6465475,12.6150613,Entire Standard,Entire home/apt,4.0,1.0,1 bath,1.0,2.0,928.0,28,730.0,1.0,28.0,1125.0,1125.0,27.6,1125.0,t,1.0,1.0,6.0,6.0,2.0,2.0,1.0,6,0.0,112.0,103936.0,5.0,5.0,4.5,4.5,4.5,4.5,4.5,t,5.0,5.0,0.0,0.0,4.4,Copenhagen,Entire Standard,Entire,Standard,1
20982,within a few hours,100%,50%,f,1.0,1.0,t,Nørrebro,55.70035,12.55261,Entire Standard,Entire home/apt,4.0,1.0,1 bath,2.0,1.0,1505.0,3,7.0,3.0,3.0,7.0,7.0,3.0,7.0,t,27.0,57.0,87.0,87.0,1.0,1.0,1.0,87,0.0,6.0,9030.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,f,1.0,1.0,0.0,0.0,2.87,Copenhagen,Entire Standard,Entire,Standard,1
20983,within a few hours,100%,79%,f,1.0,1.0,t,Nørrebro,55.69210222977848,12.560126038623046,Entire Standard,Entire home/apt,2.0,1.0,1 bath,1.0,1.0,1410.0,2,21.0,1.0,5.0,21.0,21.0,1.4,21.0,t,0.0,2.0,2.0,188.0,4.0,4.0,2.0,11,0.0,24.0,33840.0,5.0,5.0,5.0,5.0,5.0,4.75,5.0,f,1.0,1.0,0.0,0.0,1.85,Copenhagen,Entire Standard,Entire,Standard,1
20984,within an hour,100%,88%,f,1.0,1.0,t,Nørrebro,55.69242988860571,12.545656794442763,Entire Standard,Entire home/apt,2.0,1.0,1 bath,1.0,1.0,815.0,5,365.0,2.0,6.0,365.0,365.0,5.0,365.0,t,0.0,0.0,7.0,10.0,2.0,2.0,0.0,10,0.0,20.0,16300.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,f,1.0,1.0,0.0,0.0,2.3,Copenhagen,Entire Standard,Entire,Standard,1
20985,within a few hours,100%,50%,f,1.0,1.0,t,Vesterbro-Kongens Enghave,55.66981209999999,12.5473903,Entire Standard,Entire home/apt,2.0,1.0,1 bath,1.0,1.0,900.0,1,31.0,1.0,1.0,31.0,31.0,1.0,31.0,t,1.0,1.0,1.0,210.0,0.0,0.0,0.0,32,0.0,0.0,0.0,4.854396007754891,4.877735510419792,4.7306658292833355,4.902926437331826,4.898547617412661,4.923720759336556,4.7982130145468975,f,1.0,1.0,0.0,0.0,1.49,Copenhagen,Entire Standard,Entire,Standard,0
20986,within a day,64%,0%,f,1.0,1.0,t,Vesterbro-Kongens Enghave,55.6539796,12.5489078,Entire Standard,Entire home/apt,4.0,1.0,1 bath,2.0,2.0,1485.0,3,12.0,3.0,3.0,12.0,12.0,3.0,12.0,t,21.0,38.0,68.0,343.0,0.0,0.0,0.0,164,0.0,0.0,0.0,4.833999280299776,4.835162342823764,4.73110961159116,4.899051754569395,4.926433050639939,4.68439079543808,4.708527293510772,f,1.0,1.0,0.0,0.0,2.74,Copenhagen,Entire Standard,Entire,Standard,0
20989,within a day,90%,25%,f,1.0,1.0,t,Bispebjerg,55.705699210349,12.527049544013584,Entire Standard,Entire home/apt,8.0,1.0,1 bath,3.0,4.0,1233.0,4,25.0,1.0,4.0,25.0,25.0,4.0,25.0,t,12.0,16.0,16.0,194.0,0.0,0.0,0.0,16,0.0,0.0,0.0,4.855930381597682,4.878931970164058,4.697391659004603,4.901721214311029,4.9274256355397945,4.6785435152117705,4.773972227643307,f,1.0,1.0,0.0,0.0,4.19,Copenhagen,Entire Standard,Entire,Standard,0
20990,within a day,80%,50%,f,1.0,1.0,t,Nørrebro,55.68437,12.55497,Entire Standard,Entire home/apt,2.0,1.0,1 bath,1.0,1.0,1400.0,1,30.0,1.0,14.0,30.0,30.0,2.8,30.0,t,12.0,13.0,15.0,110.0,2.0,2.0,0.0,24,0.0,12.0,16800.0,5.0,5.0,4.5,5.0,5.0,5.0,5.0,f,1.0,1.0,0.0,0.0,1.24,Copenhagen,Entire Standard,Entire,Standard,1
20994,within a day,100%,73%,f,1.0,1.0,t,Østerbro,55.70796,12.5823,Entire Standard,Entire home/apt,6.0,1.0,1 bath,3.0,3.0,2559.0,3,50.0,3.0,3.0,50.0,50.0,3.0,50.0,t,20.0,35.0,58.0,152.0,1.0,1.0,1.0,152,0.0,6.0,15354.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,f,1.0,1.0,0.0,0.0,3.65,Copenhagen,Entire Standard,Entire,Standard,1
20995,within an hour,100%,100%,f,1.0,1.0,t,Amager Øst,55.65766493593058,12.6215261220932,Entire Standard,Entire home/apt,4.0,1.0,1 bath,2.0,2.0,855.0,1,365.0,1.0,1.0,365.0,365.0,1.0,365.0,t,0.0,0.0,0.0,24.0,3.0,3.0,1.0,2,0.0,18.0,15390.0,5.0,4.67,4.33,5.0,4.67,4.67,5.0,f,1.0,1.0,0.0,0.0,3.92,Copenhagen,Entire Standard,Entire,Standard,1
20997,within a few hours,100%,78%,f,1.0,2.0,t,Vesterbro-Kongens Enghave,55.66451559999999,12.5483303,Entire Standard,Entire home/apt,4.0,1.0,1 bath,1.0,1.0,900.0,2,25.0,2.0,2.0,25.0,25.0,2.0,25.0,t,2.0,2.0,2.0,90.0,0.0,0.0,0.0,2,0.0,0.0,0.0,4.876056422125581,4.8815788074856465,4.750156289118371,4.8983447883202516,4.9503748219687225,4.909922068560615,4.828171158180745,f,1.0,1.0,0.0,0.0,1.8,Copenhagen,Entire Standard,Entire,Standard,0
20998,within a day,88%,0%,f,1.0,1.0,t,Nørrebro,55.68511,12.55724,Entire Standard,Entire home/apt,2.0,1.0,1 bath,1.0,2.0,990.0,3,12.0,1.0,3.0,12.0,12.0,3.0,12.0,t,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4,0.0,0.0,0.0,4.892794766691527,4.90392771614494,4.752419781829307,4.919696446527177,4.952505598179905,4.925224193297624,4.768238295241077,f,1.0,1.0,0.0,0.0,1.22,Copenhagen,Entire Standard,Entire,Standard,0
20999,within a day,83%,40%,f,1.0,1.0,t,Amager Øst,55.66406504461592,12.615148969198431,Entire Standard,Entire home/apt,2.0,1.0,1 bath,1.0,1.0,1000.0,2,5.0,2.0,2.0,5.0,5.0,2.0,5.0,t,21.0,25.0,37.0,38.0,1.0,1.0,1.0,38,0.0,6.0,6000.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,f,1.0,1.0,0.0,0.0,3.23,Copenhagen,Entire Standard,Entire,Standard,1
21000,within a day,90%,79%,f,1.0,1.0,t,Indre By,55.6756824,12.5985599,Entire Standard,Entire home/apt,2.0,1.0,1 bath,1.0,1.0,1299.0,1,365.0,1.0,1.0,365.0,365.0,1.0,365.0,t,28.0,47.0,51.0,51.0,4.0,4.0,1.0,51,0.0,24.0,31176.0,5.0,4.5,5.0,5.0,5.0,4.75,4.75,f,1.0,1.0,0.0,0.0,1.9,Copenhagen,Entire Standard,Entire,Standard,1
21001,within an hour,100%,100%,t,5.0,5.0,t,Indre By,55.68249,12.57359,Entire Standard,Entire home/apt,5.0,1.0,1 bath,2.0,3.0,1355.0,3,365.0,1.0,3.0,365.0,365.0,3.0,365.0,t,6.0,16.0,33.0,292.0,6.0,6.0,2.0,114,0.0,36.0,48780.0,4.83,5.0,4.83,4.83,5.0,5.0,5.0,t,1.0,1.0,0.0,0.0,0.78,Copenhagen,Entire Standard,Entire,Standard,1
21002,a few days or more,10%,27%,f,1.0,1.0,t,Amager Vest,55.62006,12.5699,Entire Standard,Entire home/apt,2.0,1.0,1 bath,1.0,1.0,1000.0,2,365.0,2.0,2.0,365.0,365.0,2.0,365.0,t,22.0,32.0,60.0,61.0,2.0,2.0,1.0,61,0.0,12.0,12000.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,f,1.0,1.0,0.0,0.0,6.23,Copenhagen,Entire Standard,Entire,Standard,1
21003,within an hour,99%,100%,f,251.0,716.0,t,Østerbro,55.70368,12.58591,Entire Standard,Entire home/apt,4.0,1.0,1 bath,1.0,2.0,1270.0,1,1125.0,1.0,2.0,2.0,1125.0,1.3,847.5,t,10.0,16.0,39.0,221.0,0.0,0.0,0.0,42,0.0,0.0,0.0,4.655627271098722,4.637490466904747,4.660202985990587,4.74800151697795,4.904918298994298,4.746612286531135,4.5660864294994585,f,247.0,247.0,0.0,0.0,3.26,Copenhagen,Entire Standard,Entire,Standard,0
21005,a few days or more,40%,67%,f,2.0,2.0,t,Valby,55.6562618096316,12.499232780376984,Hotel,Private room,1.0,1.0,1 shared bath,1.0,1.0,473.0,1,365.0,1.0,1.0,365.0,365.0,1.0,365.0,t,30.0,57.0,87.0,362.0,3.0,3.0,0.0,180,0.0,18.0,8514.0,3.67,4.33,3.33,5.0,5.0,4.33,4.33,f,2.0,0.0,2.0,0.0,4.86,Copenhagen,Hotel,Hotel,Hotel,1
21006,within a few hours,100%,78%,f,1.0,1.0,t,Valby,55.65829106534751,12.509219364322524,Entire Standard,Entire home/apt,6.0,2.0,2 baths,3.0,4.0,1980.0,2,365.0,2.0,4.0,365.0,365.0,2.1,365.0,t,2.0,2.0,6.0,28.0,4.0,4.0,2.0,28,0.0,24.0,47520.0,5.0,5.0,4.75,4.75,5.0,4.75,5.0,f,1.0,1.0,0.0,0.0,4.2,Copenhagen,Entire Standard,Entire,Standard,1
21007,within a day,100%,88%,f,1.0,1.0,f,Vesterbro-Kongens Enghave,55.665882456688465,12.55271002650261,Entire Standard,Entire home/apt,2.0,0.5,Half-bath,1.0,1.0,1300.0,2,10.0,2.0,2.0,10.0,10.0,2.0,10.0,t,13.0,25.0,51.0,51.0,6.0,6.0,4.0,51,0.0,36.0,46800.0,5.0,5.0,5.0,5.0,5.0,5.0,4.83,f,1.0,1.0,0.0,0.0,1.5,Copenhagen,Entire Standard,Entire,Standard,1
21008,within an hour,100%,63%,f,1.0,1.0,t,Frederiksberg,55.68339,12.52334,Entire Standard,Entire home/apt,4.0,1.0,1 bath,1.0,2.0,1360.0,3,14.0,3.0,3.0,14.0,14.0,3.0,14.0,t,10.0,37.0,67.0,342.0,0.0,0.0,0.0,163,0.0,0.0,0.0,4.6989831420295545,4.636539492990466,4.6400085706233485,4.892876579723064,4.90276001081648,4.911217949826369,4.639098619006863,f,1.0,1.0,0.0,0.0,2.93,Copenhagen,Entire Standard,Entire,Standard,0
21009,within a few hours,100%,100%,f,1.0,1.0,f,Frederiksberg,55.6857,12.5324,Entire Standard,Entire home/apt,2.0,1.0,1 bath,1.0,1.0,990.0,2,7.0,2.0,2.0,7.0,7.0,2.0,7.0,t,1.0,1.0,1.0,179.0,0.0,0.0,0.0,1,0.0,0.0,0.0,4.774724550403777,4.835789527978306,4.749467064615259,4.9074342984986705,4.949789665498844,4.914635076623373,4.76902049315501,f,1.0,1.0,0.0,0.0,2.49,Copenhagen,Entire Standard,Entire,Standard,0
21010,within a day,80%,26%,f,1.0,1.0,f,Amager Vest,55.66595,12.59857,Entire Standard,Entire home/apt,2.0,1.0,1 bath,1.0,1.0,1094.0,3,50.0,3.0,3.0,50.0,50.0,3.0,50.0,t,1.0,1.0,14.0,244.0,7.0,7.0,3.0,73,0.0,42.0,45948.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,f,1.0,1.0,0.0,0.0,2.21,Copenhagen,Entire Standard,Entire,Standard,1
21012,within a few hours,100%,86%,f,1.0,1.0,t,Frederiksberg,55.67463659525662,12.505707014708904,Hotel,Private room,2.0,1.0,1 private bath,1.0,1.0,1000.0,1,365.0,1.0,1.0,365.0,365.0,1.0,365.0,t,30.0,60.0,90.0,365.0,2.0,2.0,2.0,188,0.0,12.0,12000.0,4.5,4.0,4.5,5.0,5.0,4.5,4.0,t,1.0,0.0,1.0,0.0,3.93,Copenhagen,Hotel,Hotel,Hotel,1
21014,within a few hours,100%,100%,f,1.0,2.0,t,Frederiksberg,55.68062,12.52028,Hotel,Private room,2.0,1.5,1.5 baths,1.0,1.0,700.0,1,365.0,1.0,1.0,365.0,365.0,1.0,365.0,t,0.0,0.0,0.0,57.0,0.0,0.0,0.0,0,0.0,0.0,0.0,4.871994615427925,4.851305485789701,4.663170511783106,4.887832918410931,4.884157815078343,4.809440021181539,4.766174121135499,f,1.0,0.0,1.0,0.0,3.05,Copenhagen,Hotel,Hotel,Hotel,0
21015,within a few hours,100%,64%,f,1.0,1.0,t,Vanløse,55.70009,12.52018,Entire Standard,Entire home/apt,4.0,1.5,1.5 baths,2.0,4.0,1341.0,2,6.0,2.0,2.0,6.0,6.0,2.0,6.0,t,2.0,6.0,19.0,285.0,2.0,2.0,1.0,108,0.0,12.0,16092.0,5.0,5.0,4.5,5.0,5.0,4.5,4.5,f,1.0,1.0,0.0,0.0,4.03,Copenhagen,Entire Standard,Entire,Standard,1
21016,within a day,100%,44%,f,1.0,1.0,t,Nørrebro,55.69168,12.54583,Entire Standard,Entire home/apt,2.0,1.0,1 bath,1.0,1.0,900.0,4,365.0,4.0,4.0,365.0,365.0,4.0,365.0,t,8.0,8.0,8.0,97.0,3.0,3.0,1.0,8,0.0,24.0,21600.0,5.0,4.67,4.67,5.0,5.0,5.0,4.33,f,1.0,1.0,0.0,0.0,2.23,Copenhagen,Entire Standard,Entire,Standard,1
21017,within an hour,96%,100%,f,28.0,28.0,t,Indre By,55.67817969999999,12.5686362,Entire Standard,Entire home/apt,4.0,1.0,1 bath,3.0,3.0,2286.0,3,365.0,1.0,3.0,365.0,365.0,3.0,365.0,t,14.0,23.0,44.0,221.0,3.0,3.0,1.0,131,0.0,18.0,41148.0,3.67,3.67,3.33,4.67,4.0,4.33,4.0,t,27.0,27.0,0.0,0.0,0.23,Copenhagen,Entire Standard,Entire,Standard,1
21018,within an hour,96%,100%,f,28.0,28.0,t,Indre By,55.67817969999999,12.5686362,Entire Standard,Entire home/apt,4.0,1.0,1 bath,3.0,3.0,2679.0,3,365.0,2.0,3.0,365.0,365.0,3.0,365.0,t,17.0,29.0,51.0,231.0,4.0,4.0,1.0,141,0.0,24.0,64296.0,4.5,4.0,4.25,5.0,4.0,4.5,4.0,t,27.0,27.0,0.0,0.0,0.23,Copenhagen,Entire Standard,Entire,Standard,1
21019,within a few hours,80%,100%,f,1.0,1.0,t,Indre By,55.6887296154949,12.573095244118388,Entire Standard,Entire home/apt,5.0,1.0,1 bath,2.0,3.0,1620.0,3,14.0,3.0,3.0,14.0,14.0,3.0,14.0,t,2.0,4.0,4.0,249.0,0.0,0.0,0.0,83,0.0,0.0,0.0,4.859160526098627,4.8674038985272,4.777820194999038,4.89262872122669,4.957975365950723,4.931047000308078,4.774515915890329,t,1.0,1.0,0.0,0.0,1.44,Copenhagen,Entire Standard,Entire,Standard,0
21020,within an hour,100%,100%,f,1.0,1.0,t,Frederiksberg,55.67086514472517,12.5319549323432,Entire Standard,Entire home/apt,3.0,1.0,1 bath,1.0,2.0,1105.0,3,21.0,2.0,3.0,21.0,21.0,3.0,21.0,t,0.0,2.0,4.0,20.0,0.0,0.0,0.0,20,0.0,0.0,0.0,4.901705807930658,4.910067740055291,4.776288537050493,4.916485481482714,4.9549865529550505,4.918039280470914,4.835830176256813,f,1.0,1.0,0.0,0.0,2.35,Copenhagen,Entire Standard,Entire,Standard,0
21021,within a day,100%,33%,f,1.0,1.0,t,Bispebjerg,55.72633262685042,12.529555514085674,Entire Standard,Entire home/apt,7.0,2.0,2 baths,5.0,4.0,2500.0,5,365.0,5.0,7.0,365.0,365.0,5.1,365.0,t,16.0,25.0,25.0,109.0,0.0,0.0,0.0,25,0.0,0.0,0.0,4.820091311818387,4.853298080755093,4.490729981522489,4.903439710980694,4.946014895123273,4.6395578196443,4.636133308679998,f,1.0,1.0,0.0,0.0,6.09,Copenhagen,Entire Standard,Entire,Standard,0
21022,within an hour,96%,100%,f,28.0,28.0,t,Indre By,55.6718,12.58985,Entire Standard,Entire home/apt,2.0,1.0,1 bath,1.0,1.0,746.0,1,365.0,1.0,5.0,365.0,365.0,3.0,365.0,t,11.0,36.0,58.0,64.0,6.0,6.0,5.0,64,0.0,36.0,26856.0,4.67,5.0,4.17,4.67,4.33,5.0,4.83,t,27.0,27.0,0.0,0.0,1.43,Copenhagen,Entire Standard,Entire,Standard,1
21023,within a day,90%,27%,f,1.0,4.0,t,Vesterbro-Kongens Enghave,55.66068238114537,12.564385011792185,Entire Standard,Entire home/apt,2.0,1.0,1 bath,1.0,1.0,1350.0,1,365.0,1.0,1.0,365.0,365.0,1.0,365.0,t,24.0,37.0,37.0,281.0,1.0,1.0,1.0,104,0.0,6.0,8100.0,5.0,5.0,4.0,5.0,5.0,4.0,4.0,f,1.0,1.0,0.0,0.0,1.73,Copenhagen,Entire Standard,Entire,Standard,1
21025,within a few hours,90%,88%,f,1.0,1.0,t,Vesterbro-Kongens Enghave,55.65342589999999,12.5380991,Entire Standard,Entire home/apt,3.0,1.0,1 bath,1.0,2.0,958.0,2,10.0,2.0,3.0,10.0,10.0,2.1,10.0,t,10.0,22.0,36.0,202.0,6.0,6.0,2.0,115,0.0,36.0,34488.0,5.0,5.0,4.67,5.0,5.0,5.0,4.67,f,1.0,1.0,0.0,0.0,3.15,Copenhagen,Entire Standard,Entire,Standard,1
21026,within an hour,90%,71%,f,1.0,2.0,f,Frederiksberg,55.6742467887474,12.516680542395228,Entire Standard,Entire home/apt,2.0,0.5,Half-bath,1.0,2.0,560.0,4,365.0,3.0,4.0,365.0,365.0,4.0,365.0,t,3.0,6.0,10.0,187.0,8.0,8.0,3.0,10,0.0,64.0,35840.0,4.88,4.5,4.75,4.88,4.88,4.88,4.88,f,1.0,1.0,0.0,0.0,3.24,Copenhagen,Entire Standard,Entire,Standard,1
21027,within an hour,99%,98%,f,51.0,66.0,t,Østerbro,55.699315,12.5861452,Entire Standard,Entire home/apt,8.0,2.0,2 baths,4.0,5.0,2945.0,2,45.0,2.0,3.0,1125.0,1125.0,2.1,1125.0,t,6.0,13.0,26.0,275.0,15.0,15.0,8.0,100,0.0,90.0,265050.0,4.8,4.8,4.87,4.87,5.0,5.0,4.8,t,39.0,39.0,0.0,0.0,2.81,Copenhagen,Entire Standard,Entire,Standard,1
21028,within a day,90%,44%,f,2.0,3.0,t,Bispebjerg,55.70069,12.53356,Entire Standard,Entire home/apt,2.0,1.0,1 bath,1.0,1.0,990.0,5,365.0,5.0,5.0,365.0,365.0,5.0,365.0,t,10.0,17.0,20.0,199.0,1.0,1.0,0.0,20,0.0,10.0,9900.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,f,2.0,2.0,0.0,0.0,3.5,Copenhagen,Entire Standard,Entire,Standard,1
21029,within a few hours,100%,100%,f,1.0,1.0,f,Frederiksberg,55.694029757014135,12.53178697462514,Entire Standard,Entire home/apt,4.0,1.0,1 bath,2.0,4.0,1121.0,1,365.0,1.0,1.0,365.0,365.0,1.0,365.0,t,5.0,7.0,8.0,248.0,0.0,0.0,0.0,69,0.0,0.0,0.0,4.858450249146855,4.844900076885847,4.726088432727957,4.896862550844439,4.939688056768715,4.774705114926855,4.727081320464112,f,1.0,1.0,0.0,0.0,3.04,Copenhagen,Entire Standard,Entire,Standard,0
21031,within an hour,100%,99%,f,280.0,610.0,t,Indre By,55.67789320000001,12.58205618465578,Entire Standard,Entire home/apt,6.0,1.0,1 bath,1.0,3.0,1566.0,1,1125.0,1.0,4.0,180.0,180.0,1.7,180.0,t,1.0,3.0,8.0,188.0,10.0,10.0,3.0,41,0.0,60.0,93960.0,4.6,4.7,4.4,4.6,4.5,5.0,4.6,t,32.0,32.0,0.0,0.0,0.89,Copenhagen,Entire Standard,Entire,Standard,1
21032,within an hour,100%,73%,f,1.0,4.0,t,Indre By,55.68741,12.56439,Hotel,Private room,1.0,1.0,1 shared bath,1.0,1.0,600.0,3,36.0,2.0,3.0,36.0,36.0,3.0,36.0,t,7.0,15.0,15.0,15.0,8.0,8.0,6.0,15,0.0,48.0,28800.0,5.0,5.0,4.88,5.0,5.0,4.88,4.88,f,1.0,0.0,1.0,0.0,1.28,Copenhagen,Hotel,Hotel,Hotel,1
21033,within a few hours,100%,50%,f,1.0,1.0,t,Vesterbro-Kongens Enghave,55.67066089488416,12.55833202474955,Entire Standard,Entire home/apt,4.0,1.0,1 bath,2.0,2.0,1440.0,2,365.0,2.0,3.0,365.0,365.0,2.0,365.0,t,18.0,18.0,18.0,69.0,1.0,1.0,0.0,18,0.0,6.0,8640.0,4.0,5.0,4.0,5.0,5.0,5.0,4.0,f,1.0,1.0,0.0,0.0,0.87,Copenhagen,Entire Standard,Entire,Standard,1
21034,within a few hours,100%,100%,f,1.0,1.0,f,Indre By,55.683184,12.574386,Entire Standard,Entire home/apt,2.0,1.0,1 bath,1.0,1.0,1052.0,4,90.0,1.0,7.0,90.0,90.0,4.1,90.0,t,5.0,19.0,31.0,32.0,5.0,5.0,2.0,32,0.0,40.0,42080.0,5.0,5.0,4.8,5.0,5.0,5.0,4.8,f,1.0,1.0,0.0,0.0,0.88,Copenhagen,Entire Standard,Entire,Standard,1
21035,within an hour,69%,18%,f,2.0,2.0,t,Østerbro,55.71403780998233,12.57073849439621,Entire Standard,Entire home/apt,3.0,1.0,1 bath,1.0,1.0,812.0,1,365.0,1.0,1.0,365.0,365.0,1.0,365.0,t,29.0,43.0,68.0,343.0,1.0,1.0,1.0,164,0.0,6.0,4872.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,f,1.0,1.0,0.0,0.0,4.22,Copenhagen,Entire Standard,Entire,Standard,1
21036,within a few hours,100%,50%,f,1.0,1.0,t,Vanløse,55.6844643385143,12.489060038883192,Entire Standard,Entire home/apt,2.0,1.0,1 bath,1.0,1.0,1500.0,7,14.0,7.0,7.0,14.0,14.0,7.0,14.0,t,15.0,41.0,63.0,338.0,0.0,0.0,0.0,161,0.0,0.0,0.0,4.902945427779386,4.763706532975466,4.823331461930064,4.873336819968882,4.816168361548072,4.795670326067345,4.819534994949779,f,1.0,1.0,0.0,0.0,5.05,Copenhagen,Entire Standard,Entire,Standard,0
21037,within an hour,100%,100%,f,1.0,1.0,t,Brønshøj-Husum,55.699482897276866,12.487976026224525,Alternative,Entire home/apt,2.0,1.0,1 bath,1.0,1.0,450.0,4,7.0,4.0,10.0,7.0,10.0,4.1,7.1,t,2.0,2.0,16.0,16.0,8.0,8.0,3.0,16,0.0,64.0,28800.0,4.88,4.88,4.63,4.88,5.0,4.88,4.88,f,1.0,1.0,0.0,0.0,5.67,Copenhagen,Alternative,Alternative,Alternative,1
21039,within a day,100%,69%,f,2.0,2.0,t,Frederiksberg,55.69262572569983,12.52225287258625,Hotel,Private room,2.0,1.0,1 shared bath,1.0,1.0,800.0,1,365.0,1.0,1.0,365.0,365.0,1.0,365.0,t,26.0,35.0,58.0,333.0,4.0,4.0,2.0,156,0.0,24.0,19200.0,5.0,5.0,5.0,4.5,5.0,5.0,5.0,f,2.0,1.0,1.0,0.0,3.42,Copenhagen,Hotel,Hotel,Hotel,1
21040,within a day,100%,80%,f,1.0,3.0,t,Nørrebro,55.6883701,12.5463753,Entire Standard,Entire home/apt,2.0,1.0,1 bath,1.0,1.0,1080.0,4,30.0,3.0,4.0,30.0,30.0,4.0,30.0,t,0.0,4.0,4.0,5.0,6.0,6.0,3.0,5,0.0,48.0,51840.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,f,1.0,1.0,0.0,0.0,1.94,Copenhagen,Entire Standard,Entire,Standard,1
21041,within a day,100%,20%,f,1.0,1.0,t,Vesterbro-Kongens Enghave,55.66537,12.54697,Entire Standard,Entire home/apt,2.0,1.0,1 bath,1.0,1.0,870.0,2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,t,7.0,7.0,16.0,17.0,1.0,1.0,1.0,17,0.0,6.0,5220.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,f,1.0,1.0,0.0,0.0,1.79,Copenhagen,Entire Standard,Entire,Standard,1
21042,within an hour,100%,100%,f,1.0,1.0,t,Amager Øst,55.65425949999999,12.6114833,Entire Standard,Entire home/apt,4.0,1.0,1 bath,1.0,2.0,752.0,2,365.0,2.0,2.0,365.0,365.0,2.0,365.0,t,5.0,5.0,5.0,5.0,0.0,0.0,0.0,5,0.0,0.0,0.0,4.762629187267063,4.858571826441417,4.687316092695618,4.894828679739473,4.9283824986497295,4.809301437663063,4.767971971594852,f,1.0,1.0,0.0,0.0,3.64,Copenhagen,Entire Standard,Entire,Standard,0
21044,within an hour,100%,89%,f,1.0,1.0,t,Vesterbro-Kongens Enghave,55.6497347,12.5291777,Entire Standard,Entire home/apt,4.0,1.0,1 bath,1.0,2.0,1058.0,6,30.0,3.0,6.0,30.0,30.0,5.9,30.0,t,7.0,7.0,7.0,7.0,2.0,2.0,1.0,7,0.0,24.0,25392.0,5.0,4.5,4.5,5.0,4.5,4.5,4.5,t,1.0,1.0,0.0,0.0,3.82,Copenhagen,Entire Standard,Entire,Standard,1
21045,within a day,100%,100%,f,1.0,2.0,f,Amager Vest,55.6534096,12.5659157,Entire Standard,Entire home/apt,2.0,1.0,1 bath,1.0,1.0,977.0,3,14.0,3.0,3.0,14.0,14.0,3.0,14.0,t,0.0,0.0,0.0,82.0,0.0,0.0,0.0,0,0.0,0.0,0.0,4.897513018023759,4.900844091698268,4.736460529653562,4.920913857768806,4.949822361615749,4.8080076821364655,4.792834786044167,f,1.0,1.0,0.0,0.0,2.53,Copenhagen,Entire Standard,Entire,Standard,0
