,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_identity_verified,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,price_local,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,availability_eoy,number_of_reviews_ly,estimated_occupancy_l365d,estimated_revenue_l365d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,distance_to_center_km,city,property_type_grouped,property_privacy_level,property_category,has_reviews
1555,within a day,70%,57%,f,1.0,1.0,t,Indre By,55.68438,12.5852,Hotel,Private room,1.0,1.0,1 private bath,1.0,1.0,743.0,3,1125.0,3.0,3.0,1125.0,1125.0,3.0,1125.0,t,13.0,22.0,31.0,105.0,31.0,2.0,2.0,105,0.0,12.0,8916.0,4.81,4.77,4.93,4.9,4.74,4.94,4.65,f,1.0,0.0,1.0,0.0,1.4,Copenhagen,Hotel,Hotel,Hotel,1
1556,within a day,100%,20%,f,2.0,4.0,t,Vesterbro-Kongens Enghave,55.66619,12.54872,Entire Standard,Entire home/apt,6.0,1.5,1.5 baths,3.0,4.0,1100.0,2,30.0,2.0,2.0,30.0,30.0,2.0,30.0,t,2.0,2.0,2.0,276.0,20.0,7.0,0.0,94,12.0,42.0,46200.0,4.75,4.65,4.3,4.9,4.9,4.8,4.7,f,1.0,1.0,0.0,0.0,1.65,Copenhagen,Entire Standard,Entire,Standard,1
1562,within a few hours,80%,82%,f,1.0,1.0,t,Vanløse,55.6829848,12.4865537,Entire Standard,Entire home/apt,3.0,1.0,1 bath,1.0,1.0,689.0,2,10.0,2.0,2.0,10.0,10.0,2.0,10.0,t,0.0,0.0,0.0,27.0,4.0,4.0,3.0,0,0.0,24.0,16536.0,5.0,5.0,5.0,5.0,5.0,5.0,4.75,f,1.0,1.0,0.0,0.0,5.18,Copenhagen,Entire Standard,Entire,Standard,1
1563,within a day,55%,9%,f,2.0,3.0,t,Vesterbro-Kongens Enghave,55.66444,12.54247,Entire Standard,Entire home/apt,2.0,1.5,1.5 baths,1.0,1.0,520.0,1,1125.0,1.0,1.0,1125.0,1125.0,1.0,1125.0,t,3.0,4.0,16.0,286.0,18.0,2.0,0.0,111,3.0,12.0,6240.0,4.61,4.67,4.17,4.78,4.83,4.72,4.39,f,2.0,2.0,0.0,0.0,2.07,Copenhagen,Entire Standard,Entire,Standard,1
1565,within a day,80%,50%,f,1.0,2.0,t,Amager Vest,55.65489,12.60423,Entire Luxury,Entire home/apt,5.0,1.0,1 bath,4.0,4.0,996.0,28,150.0,3.0,28.0,150.0,150.0,27.3,150.0,t,3.0,3.0,26.0,135.0,7.0,0.0,0.0,124,0.0,0.0,0.0,5.0,4.86,4.86,4.86,4.86,4.86,4.86,f,1.0,1.0,0.0,0.0,3.26,Copenhagen,Entire Luxury,Entire,Luxury,1
1567,within an hour,100%,100%,f,1.0,3.0,f,Amager Vest,55.66345,12.58133,Entire Standard,Entire home/apt,6.0,1.0,1 bath,3.0,4.0,1892.0,3,14.0,3.0,3.0,14.0,14.0,3.0,14.0,t,3.0,8.0,8.0,8.0,21.0,5.0,0.0,8,4.0,30.0,56760.0,4.86,4.86,4.71,4.86,4.95,5.0,4.76,f,1.0,1.0,0.0,0.0,1.63,Copenhagen,Entire Standard,Entire,Standard,1
1568,a few days or more,46%,48%,f,1.0,1.0,t,Indre By,55.68764,12.59652,Entire Standard,Entire home/apt,3.0,1.0,1 bath,1.0,4.0,900.0,2,4.0,2.0,2.0,4.0,4.0,2.0,4.0,t,16.0,28.0,44.0,319.0,45.0,10.0,1.0,142,7.0,60.0,54000.0,4.4,4.59,3.93,4.68,4.48,4.84,4.27,f,1.0,1.0,0.0,0.0,2.19,Copenhagen,Entire Standard,Entire,Standard,1
1569,within a few hours,100%,74%,t,2.0,2.0,t,Frederiksberg,55.67648,12.55204,Hotel,Private room,2.0,1.0,1 shared bath,1.0,1.0,850.0,3,1125.0,3.0,3.0,1125.0,1125.0,3.0,1125.0,t,22.0,27.0,52.0,327.0,108.0,11.0,3.0,149,11.0,66.0,56100.0,4.84,4.87,4.8,4.88,4.91,4.91,4.71,f,1.0,0.0,1.0,0.0,1.02,Copenhagen,Hotel,Hotel,Hotel,1
1570,within an hour,100%,50%,f,1.0,1.0,t,Vesterbro-Kongens Enghave,55.66981,12.54609,Entire Standard,Entire home/apt,2.0,1.0,1 bath,1.0,1.0,648.0,2,10.0,1.0,2.0,10.0,10.0,2.0,10.0,t,2.0,2.0,2.0,3.0,2.0,2.0,0.0,2,0.0,12.0,7776.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,f,1.0,1.0,0.0,0.0,1.56,Copenhagen,Entire Standard,Entire,Standard,1
1571,within an hour,100%,0%,f,1.0,2.0,t,Amager Vest,55.65072,12.59104,Entire Standard,Entire home/apt,6.0,2.0,2 baths,3.0,3.0,4000.0,5,30.0,5.0,5.0,30.0,30.0,5.0,30.0,t,23.0,47.0,77.0,352.0,1.0,0.0,0.0,170,0.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,f,1.0,1.0,0.0,0.0,3.16,Copenhagen,Entire Standard,Entire,Standard,1
1573,within a day,80%,0%,f,1.0,1.0,t,Frederiksberg,55.68184,12.53966,Entire Standard,Entire home/apt,4.0,1.0,1 bath,2.0,3.0,950.0,6,1125.0,6.0,6.0,1125.0,1125.0,6.0,1125.0,t,23.0,33.0,61.0,61.0,2.0,0.0,0.0,61,0.0,0.0,0.0,4.5,5.0,5.0,5.0,5.0,4.5,4.5,f,1.0,1.0,0.0,0.0,1.91,Copenhagen,Entire Standard,Entire,Standard,1
1574,within a few hours,100%,67%,f,2.0,2.0,t,Vesterbro-Kongens Enghave,55.66365,12.54581,Entire Standard,Entire home/apt,4.0,1.0,1 bath,1.0,2.0,1216.0,4,14.0,1.0,4.0,14.0,14.0,4.0,14.0,t,10.0,19.0,32.0,102.0,51.0,3.0,0.0,102,4.0,24.0,29184.0,4.69,4.78,4.47,4.96,4.88,4.9,4.62,f,2.0,2.0,0.0,0.0,1.98,Copenhagen,Entire Standard,Entire,Standard,1
1576,within a day,100%,100%,t,3.0,3.0,t,Amager Vest,55.65247,12.56367,Entire Luxury,Entire home/apt,6.0,2.5,2.5 baths,4.0,3.0,1219.0,6,45.0,6.0,6.0,45.0,45.0,6.0,45.0,t,3.0,3.0,3.0,10.0,3.0,0.0,0.0,10,0.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,f,2.0,1.0,1.0,0.0,2.64,Copenhagen,Entire Luxury,Entire,Luxury,1
1577,within a day,100%,86%,f,1.0,1.0,t,Indre By,55.672,12.59282,Entire Standard,Entire home/apt,2.0,1.0,1 bath,1.0,1.0,829.0,3,1125.0,3.0,3.0,1125.0,1125.0,3.0,1125.0,t,2.0,2.0,2.0,2.0,45.0,8.0,0.0,2,6.0,48.0,39792.0,4.82,4.87,5.0,4.89,5.0,4.82,4.7,f,1.0,1.0,0.0,0.0,1.6,Copenhagen,Entire Standard,Entire,Standard,1
1579,within an hour,100%,79%,f,1.0,2.0,t,Østerbro,55.70984,12.55744,Hotel,Private room,2.0,1.0,1 private bath,1.0,1.0,598.0,3,1125.0,4.0,5.0,1125.0,1125.0,4.3,1125.0,t,8.0,19.0,42.0,317.0,16.0,6.0,1.0,140,8.0,36.0,21528.0,4.94,4.88,4.63,4.75,5.0,4.81,4.69,f,1.0,0.0,1.0,0.0,3.81,Copenhagen,Hotel,Hotel,Hotel,1
1582,within an hour,100%,100%,f,2.0,2.0,t,Amager Øst,55.65816,12.60869,Hotel,Private room,2.0,1.0,1 shared bath,1.0,1.0,347.0,3,5.0,2.0,3.0,1125.0,1125.0,3.0,1125.0,t,0.0,2.0,6.0,91.0,527.0,62.0,6.0,83,63.0,255.0,88485.0,4.82,4.85,4.89,4.88,4.83,4.77,4.77,f,2.0,0.0,2.0,0.0,3.22,Copenhagen,Hotel,Hotel,Hotel,1
