,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_identity_verified,neighbourhood_cleansed,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,price_local,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,availability_eoy,number_of_reviews_ly,estimated_occupancy_l365d,estimated_revenue_l365d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,distance_to_center_km,city,property_type_grouped,property_privacy_level,property_category,has_reviews
34123,within an hour,100%,71%,f,1.0,1.0,f,Bjerke,Entire Standard,Entire home/apt,2.0,1.0,1 bath,1.0,1.0,1549.0,2,31.0,2.0,2.0,1125.0,1125.0,2.0,1125.0,t,29.0,59.0,89.0,364.0,2.0,2.0,0.0,93,0.0,12.0,18588.0,5.0,5.0,5.0,5.0,5.0,4.0,4.5,t,1.0,1.0,0.0,0.0,3.75,Oslo,Entire Standard,Entire,Standard,1
34124,within an hour,100%,100%,f,1.0,1.0,f,Østensjø,Entire Standard,Entire home/apt,4.0,1.0,1 bath,2.0,4.0,1972.0,3,365.0,3.0,3.0,365.0,365.0,3.0,365.0,t,0.0,0.0,0.0,80.0,6.0,6.0,0.0,0,0.0,36.0,70992.0,4.83,5.0,4.83,5.0,5.0,5.0,5.0,t,1.0,1.0,0.0,0.0,3.16,Oslo,Entire Standard,Entire,Standard,1
34125,within an hour,95%,95%,f,1.0,2.0,t,Ullern,Entire Standard,Entire home/apt,5.0,1.0,1 bath,2.0,2.0,1822.0,3,365.0,2.0,3.0,365.0,365.0,2.4,365.0,t,24.0,51.0,81.0,299.0,12.0,12.0,11.0,85,0.0,72.0,131184.0,5.0,4.92,5.0,5.0,4.92,4.92,4.92,f,1.0,1.0,0.0,0.0,4.88,Oslo,Entire Standard,Entire,Standard,1
34126,within a few hours,100%,100%,f,1.0,1.0,t,Østensjø,Entire Standard,Entire home/apt,2.0,1.0,1 bath,2.0,2.0,1007.0,3,30.0,3.0,3.0,30.0,30.0,3.0,30.0,t,8.0,38.0,68.0,68.0,2.0,2.0,1.0,68,0.0,12.0,12084.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,f,1.0,1.0,0.0,0.0,4.18,Oslo,Entire Standard,Entire,Standard,1
34128,within a day,60%,63%,f,1.0,1.0,f,St. Hanshaugen,Entire Standard,Entire home/apt,3.0,1.0,1 bath,1.0,1.0,1132.0,2,21.0,2.0,2.0,21.0,21.0,2.0,21.0,t,9.0,25.0,43.0,93.0,2.0,2.0,0.0,47,0.0,12.0,13584.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,f,1.0,1.0,0.0,0.0,0.5,Oslo,Entire Standard,Entire,Standard,1
34129,within a few hours,80%,45%,f,1.0,2.0,f,Nordstrand,Entire Standard,Entire home/apt,3.0,1.0,1 bath,1.0,1.0,1181.0,1,365.0,1.0,1.0,365.0,365.0,1.0,365.0,t,27.0,55.0,81.0,352.0,5.0,5.0,3.0,85,0.0,30.0,35430.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,f,1.0,1.0,0.0,0.0,6.38,Oslo,Entire Standard,Entire,Standard,1
34130,within an hour,100%,100%,f,1.0,1.0,t,St. Hanshaugen,Entire Standard,Entire home/apt,4.0,1.0,1 bath,2.0,1.0,1050.0,3,65.0,3.0,7.0,1125.0,1125.0,3.7,1125.0,t,2.0,2.0,8.0,111.0,0.0,0.0,0.0,11,0.0,0.0,0.0,4.865623549715716,4.8873625500358955,4.788284397898159,4.875261749286608,4.935204343726895,4.868924723594144,4.8333343133140225,t,1.0,1.0,0.0,0.0,2.03,Oslo,Entire Standard,Entire,Standard,0
34131,within an hour,86%,100%,f,1.0,1.0,f,Gamle Oslo,Entire Standard,Entire home/apt,2.0,1.0,1 bath,1.0,1.0,1429.0,1,7.0,1.0,1.0,7.0,7.0,1.0,7.0,t,16.0,46.0,76.0,166.0,1.0,1.0,0.0,80,0.0,6.0,8574.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,f,1.0,1.0,0.0,0.0,1.9,Oslo,Entire Standard,Entire,Standard,1
34132,within an hour,89%,50%,f,1.0,1.0,t,St. Hanshaugen,Entire Standard,Entire home/apt,5.0,1.0,1 bath,2.0,2.0,1790.0,2,365.0,2.0,2.0,365.0,365.0,2.0,365.0,t,0.0,0.0,0.0,151.0,2.0,2.0,0.0,0,0.0,12.0,21480.0,5.0,5.0,5.0,5.0,5.0,5.0,4.5,f,1.0,1.0,0.0,0.0,1.27,Oslo,Entire Standard,Entire,Standard,1
34133,within an hour,100%,33%,f,1.0,1.0,f,Frogner,Entire Standard,Entire home/apt,4.0,1.0,1 bath,2.0,2.0,2605.0,2,365.0,2.0,2.0,365.0,365.0,2.0,365.0,t,2.0,5.0,12.0,12.0,1.0,1.0,1.0,12,0.0,6.0,15630.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,f,1.0,1.0,0.0,0.0,1.87,Oslo,Entire Standard,Entire,Standard,1
34134,within an hour,100%,72%,f,1.0,1.0,t,Sagene,Entire Standard,Entire home/apt,2.0,1.0,1 bath,1.0,1.0,1055.0,2,28.0,2.0,2.0,28.0,28.0,2.0,28.0,t,15.0,45.0,75.0,165.0,7.0,7.0,3.0,79,0.0,42.0,44310.0,5.0,5.0,5.0,4.71,5.0,4.86,4.71,f,1.0,1.0,0.0,0.0,3.26,Oslo,Entire Standard,Entire,Standard,1
34135,within an hour,100%,100%,f,1.0,2.0,f,St. Hanshaugen,Entire Standard,Entire home/apt,4.0,1.0,1 bath,1.0,2.0,1558.0,1,365.0,1.0,1.0,365.0,365.0,1.0,365.0,t,19.0,49.0,79.0,79.0,4.0,4.0,0.0,79,0.0,24.0,37392.0,4.75,5.0,5.0,5.0,5.0,5.0,5.0,f,1.0,1.0,0.0,0.0,3.04,Oslo,Entire Standard,Entire,Standard,1
